name1	name2
A1BG	ABCC4
A1BG	ALB
A1BG	APLP2
A1BG	BRPF3
A1BG	CD63
A1BG	CDC37L1
A1BG	CLEC3B
A1BG	CTSW
A1BG	CYB5R1
A1BG	EQTN
A1BG	EXOC3L1
A1BG	EXOC3L2
A1BG	EXOC3L4
A1BG	F13A1
A1BG	F5
A1BG	FAM3C
A1BG	ISLR
A1BG	ITGA2B
A1BG	ITIH3
A1BG	KLRF2
A1BG	LAMP2
A1BG	LGALS3BP
A1BG	MMRN1
A1BG	ORM1
A1BG	ORM2
A1BG	PCDH7
A1BG	PECAM1
A1BG	PHACTR2
A1BG	POTEKP
A1BG	QSOX1
A1BG	SCAMP1
A1BG	SCG3
A1BG	SERPINA4
A1BG	SPP2
A1BG	SYCN
A1BG	TF
A1BG	TMSB4X
A1BG	TMX3
A1BG	TUBA4A
A1BG	VCL
A1BG	WDR1
A1CF	SWSAP1
A1CF	ZSWIM7
A2ML1	C3P1
A2ML1	CPAMD8
A2ML1	CST5
A2ML1	CST8
A2ML1	CST9L
A2ML1	CST9LP1
A2ML1	CSTL1
A2ML1	HMSD
A2ML1	PI15
A2ML1	PI16
A2ML1	R3HDML
A2ML1	SERPINA11
A2ML1	SERPINA13P
A2ML1	SERPINA2
A2ML1	SERPINA9
A2ML1	SERPINB1
A2ML1	SERPINB10
A2ML1	SERPINB11
A2ML1	SERPINB8
A2ML1	SERPINE3
A2ML1	SPINK14
A2ML1	SPINK6
A2ML1	SPINK7
A2ML1	SPINK9
A2ML1	SPINT3
A2ML1	SPINT4
A2ML1	WFDC10A
A2ML1	WFDC10B
A2ML1	WFDC13
A2ML1	WFDC3
A2ML1	WFDC5
A2ML1	WFDC6
A2ML1	WFDC8
A3GALT2	ABO
A3GALT2	GBGT1
A3GALT2	GLT6D1
AAAS	NUP160
AAAS	NUP188
AAAS	NUP210
AAAS	NUP50
AAAS	NUP88
AAAS	NUPL2
AAAS	POM121
AAAS	POM121C
AADAT	AFMID
AADAT	GOT2
AADAT	KYAT1
AADAT	KYAT3
AADAT	KYNU
AADAT	TDO2
AAED1	FAM213A
AAED1	GPX2
AAED1	GPX5
AAED1	GPX6
AAED1	GPX7
AAED1	GPX8
AAED1	IPCEF1
AAED1	IYD
AAED1	MARC1
AAED1	MARC2
AAED1	PXDNL
AAED1	SOD3
AAED1	SRXN1
AAED1	TXNDC17
AAED1	TXNRD2
AAMDC	MEDAG
AANAT	CPNE2
AANAT	TPH2
AAR2	BRIX1
AAR2	CD2BP2
AAR2	CLNS1A
AAR2	DENR
AAR2	ERAL1
AAR2	GEMIN2
AAR2	GEMIN4
AAR2	GEMIN5
AAR2	GEMIN6
AAR2	GEMIN7
AAR2	GEMIN8
AAR2	LSM4
AAR2	LUC7L2
AAR2	NIP7
AAR2	PPAN
AAR2	PRPF3
AAR2	PRPF31
AAR2	PRPF39
AAR2	PRPF6
AAR2	PRPF8
AAR2	RPS10-NUDT3
AAR2	RPS10P5
AAR2	SMN1
AAR2	SNRPC
AAR2	SNRPD1
AAR2	SNRPD2
AAR2	SNUPN
AAR2	SRSF12
AAR2	WDR97
AARD	CCDC39
AARD	CCDC40
AARD	CRISPLD2
AARD	HEG1
AARD	HSD11B1
AARD	HSPB11
AARD	STRA6
AARSD1	IARS2
AARSD1	IMP3
AARSD1	LARS
AARSD1	LARS2
AARSD1	VARS
AARSD1	VARS2
AASDHPPT	MRI1
AASS	ACOT13
AASS	DECR1
ABCA10	ABCA13
ABCA10	ABCA6
ABCA10	ABCA9
ABCA10	ABCC3
ABCA10	ABCG4
ABCA10	CFHR4
ABCA10	ESYT1
ABCA10	ESYT3
ABCA10	GLTPD2
ABCA10	OSBPL2
ABCA10	OSBPL3
ABCA10	OSBPL6
ABCA10	OSBPL9
ABCA10	PLEKHA8P1
ABCA10	SLC10A2
ABCA10	SLC10A4
ABCA10	SLC10A5
ABCA10	SLC10A6
ABCA10	STARD6
ABCA12	CNFN
ABCA12	FLG2
ABCA12	KAZN
ABCA12	LCE6A
ABCA12	TCHH
ABCA13	ABCA5
ABCA13	ABCA6
ABCA13	ABCA9
ABCA13	ABCC3
ABCA13	ABCG4
ABCA13	ABCG8
ABCA13	ATP10B
ABCA13	ATP10D
ABCA13	ATP11A
ABCA13	ATP11B
ABCA13	ATP9A
ABCA13	CFHR4
ABCA13	ESYT1
ABCA13	ESYT3
ABCA13	GLTPD2
ABCA13	MFSD2A
ABCA13	OSBPL2
ABCA13	OSBPL3
ABCA13	OSBPL5
ABCA13	OSBPL6
ABCA13	OSBPL9
ABCA13	PCTP
ABCA13	PLEKHA8P1
ABCA13	PRELID2
ABCA13	PRELID3B
ABCA13	SCP2D1
ABCA13	SLC10A2
ABCA13	SLC10A4
ABCA13	SLC10A5
ABCA13	SLC25A19
ABCA13	SLC25A42
ABCA13	STARD6
ABCA2	ABCG8
ABCA4	ATP10B
ABCA4	ATP11A
ABCA5	ABCG4
ABCA6	ABCA9
