name1	name2
A4GNT	ALG14
A4GNT	B3GNT2
A4GNT	B3GNT3
A4GNT	B3GNT4
A4GNT	B3GNT5
A4GNT	B3GNT6
A4GNT	B3GNT7
A4GNT	B3GNT8
A4GNT	CCDC126
A4GNT	EOGT
A4GNT	EXTL1
A4GNT	GCNT2
A4GNT	GCNT3
A4GNT	GCNT4
A4GNT	GCNT6
A4GNT	GCNT7
A4GNT	MGAT3
A4GNT	MGAT5
A4GNT	PIGC
A4GNT	PIGH
A4GNT	PIGP
A4GNT	PIGQ
A4GNT	POMGNT1
A4GNT	POMGNT2
A4GNT	XYLT1
A4GNT	XYLT2
AADAC	LIPK
AADAC	LIPM
AADAC	LIPN
AADAC	PNLIPRP3
AADAC	PNPLA1
AADAC	PNPLA5
AANAT	NAT1
AANAT	NAT2
AASS	BLVRB
AASS	NOXRED1
AASS	PRODH2
AASS	PYCR2
AASS	SARDH
AASS	SMOX
ABHD12	ABHD16A
ABHD12	ABHD3
ABHD12	ABHD6
ABHD12	ASPG
ABHD12	ENPP7
ABHD12	LYPLA1
ABHD12	LYPLAL1
ABHD12	MGLL
ABHD12	PLA1A
ABHD12	PLA2G4C
ABHD12	PLB1
ABHD12	PLBD1
ABHD12	PLD4
ABHD12	PNPLA6
ABHD12	PNPLA7
ABHD12	PROCA1
ABHD16A	ABHD3
ABHD16A	ABHD6
ABHD16A	ASPG
ABHD16A	ENPP7
ABHD16A	LYPLA1
ABHD16A	LYPLAL1
ABHD16A	MGLL
ABHD16A	PLA1A
ABHD16A	PLA2G4C
ABHD16A	PLB1
ABHD16A	PLBD1
ABHD16A	PLD4
ABHD16A	PNPLA6
ABHD16A	PNPLA7
ABHD16A	PROCA1
ABHD3	ABHD6
ABHD3	ENPP7
ABHD3	PLA1A
ABHD3	PLA2G16
ABHD3	PLA2G4C
ABHD3	PLB1
ABHD3	PLBD1
ABHD3	PLD4
ABHD3	PNPLA6
ABHD3	PNPLA7
ABHD3	PROCA1
ABHD5	AGPAT1
ABHD5	AGPAT2
ABHD5	AGPAT3
ABHD5	AGPAT4
ABHD5	AGPAT5
ABHD5	LCLAT1
ABHD5	LIPK
ABHD5	LIPM
ABHD5	LIPN
ABHD5	LPCAT3
ABHD5	LPGAT1
ABHD5	MBOAT1
ABHD5	MBOAT2
ABHD5	MBOAT7
ABHD5	PNLIPRP3
ABHD5	PNPLA1
ABHD5	PNPLA2
ABHD5	PNPLA3
ABHD5	PNPLA5
ABHD6	ENPP7
ABHD6	LDAH
ABHD6	LIPA
ABHD6	PLA1A
ABHD6	PLBD1
ABHD6	PLD4
ABHD6	PNPLA6
ABHD6	PNPLA7
ABHD6	PROCA1
ACAD10	ACAD11
ACAD10	ACAD8
ACAD10	ACADS
ACAD10	ACADSB
ACAD10	ACADVL
ACAD10	GCDH
ACAD10	IVD
ACAD11	ACAD8
ACAD11	ACADL
ACAD11	ACADS
ACAD11	ACADSB
ACAD11	ACADVL
ACAD11	ACOXL
ACAD11	GCDH
ACAD11	IVD
ACAD8	ACADL
ACAD8	ACADS
ACAD8	ACADSB
ACAD8	ACADVL
ACAD8	ACOXL
ACAD8	GCDH
ACAD8	IVD
ACADL	ACADS
ACADL	ACADSB
ACADL	ACADVL
ACADL	ACOXL
ACADL	GCDH
ACADL	IVD
ACADS	ACADSB
ACADS	ACADVL
ACADS	ACOXL
ACADS	GCDH
ACADS	IVD
ACADSB	ACADVL
ACADSB	ACOXL
ACADSB	GCDH
ACADSB	IVD
ACADVL	ACOXL
ACADVL	GCDH
ACADVL	IVD
ACER1	ACER2
ACER1	ACER3
ACER1	ASAH1
ACER1	ASAH2
ACER2	ACER3
ACER2	ASAH1
ACER2	ASAH2
ACER3	ASAH1
ACER3	ASAH2
ACKR2	ACKR3
ACKR2	ACKR4
ACKR3	ACKR4
ACKR3	CXCR6
ACOD1	ECHDC1
ACOD1	GGCX
ACOD1	PISD
ACOD1	URAD
ACOD1	UROD
ACOT1	ACOT13
ACOT1	ACOT6
ACOT1	ACOT9
ACOT1	THEM4
ACOT1	THEM5
ACOT13	ACOT6
ACOT13	ACOT9
ACOT13	HIBCH
ACOT13	THEM4
ACOT13	THEM5
ACOT4	THEM4
ACOT4	THEM5
ACOT6	ACOT9
ACOT6	THEM4
ACOT6	THEM5
ACOT8	THEM4
ACOT8	THEM5
ACOT9	THEM4
ACOT9	THEM5
ACOX3	ACOXL
ACOXL	GCDH
ACOXL	IVD
ACP2	ACP6
ACP2	MINPP1
ACP6	ACPP
ACSBG1	ACSBG2
ACSBG1	ACSF3
ACSBG1	ACSL1
ACSBG1	ACSL4
ACSBG1	ACSL5
ACSBG1	SLC27A3
ACSBG2	ACSL1
ACSBG2	ACSL4
ACSBG2	ACSL5
ACSF3	ACSL4
ACSL1	ACSL4
ACSL1	ACSL5
ACSL4	ACSL5
ACSS2	ACSS3
ACYP1	ACYP2
ADAM11	ADAM2
ADAM11	ADAM22
ADAM11	ADAM23
ADAM18	ADAM29
ADAM18	ADAM32
ADAM18	ADAM7
ADAM18	KLK7
ADAM18	RCE1
ADAM18	THSD4
ADAM2	ADAM22
ADAM2	ADAM23
ADAM22	ADAM23
ADAM29	ADAM32
ADAM29	ADAM7
ADAM29	KLK7
ADAM29	RCE1
ADAM29	THSD4
ADAM30	ADAM33
ADAM30	ADAMDEC1
ADAM30	ADAMTS14
ADAM30	ADAMTS16
ADAM30	ADAMTS17
ADAM30	ADAMTS18
ADAM30	ADAMTS19
ADAM30	ADAMTS2
ADAM30	ADAMTS20
ADAM30	ADAMTS6
ADAM30	ADAMTS9
ADAM30	MEP1A
ADAM30	MEP1B
ADAM30	MMP23A
ADAM30	MMP26
ADAM30	PAPPA
ADAM30	PAPPA2
ADAM30	PMPCA
ADAM30	PMPCB
ADAM32	ADAM7
ADAM32	KLK7
ADAM32	RCE1
ADAM32	THSD4
ADAM33	ADAMDEC1
ADAM33	ADAMTS14
ADAM33	ADAMTS16
ADAM33	ADAMTS17
ADAM33	ADAMTS18
ADAM33	ADAMTS19
ADAM33	ADAMTS2
ADAM33	ADAMTS20
ADAM33	ADAMTS6
ADAM33	ADAMTS9
ADAM33	MEP1A
ADAM33	MEP1B
ADAM33	MMP23A
ADAM33	MMP26
ADAM33	PAPPA
ADAM33	PAPPA2
ADAM33	PMPCA
ADAM33	PMPCB
ADAM7	KLK7
ADAM7	RCE1
ADAM7	THSD4
ADAMDEC1	ADAMTS14
ADAMDEC1	ADAMTS16
ADAMDEC1	ADAMTS17
ADAMDEC1	ADAMTS18
ADAMDEC1	ADAMTS19
ADAMDEC1	ADAMTS2
ADAMDEC1	ADAMTS20
ADAMDEC1	ADAMTS6
ADAMDEC1	ADAMTS9
ADAMDEC1	MEP1A
ADAMDEC1	MEP1B
ADAMDEC1	MMP23A
ADAMDEC1	MMP26
ADAMDEC1	PAPPA
ADAMDEC1	PAPPA2
ADAMDEC1	PMPCA
ADAMDEC1	PMPCB
ADAMTS14	ADAMTS16
ADAMTS14	ADAMTS17
ADAMTS14	ADAMTS18
ADAMTS14	ADAMTS19
ADAMTS14	ADAMTS2
ADAMTS14	ADAMTS20
ADAMTS14	ADAMTS6
ADAMTS14	ADAMTS9
ADAMTS14	MEP1A
ADAMTS14	MEP1B
ADAMTS14	MMP23A
ADAMTS14	MMP26
ADAMTS14	PAPPA
ADAMTS14	PAPPA2
ADAMTS14	PMPCA
ADAMTS14	PMPCB
ADAMTS16	ADAMTS17
ADAMTS16	ADAMTS18
ADAMTS16	ADAMTS19
ADAMTS16	ADAMTS2
ADAMTS16	ADAMTS20
ADAMTS16	ADAMTS6
ADAMTS16	ADAMTS9
ADAMTS16	MEP1A
ADAMTS16	MEP1B
ADAMTS16	MMP23A
