name1	name2
NALCN	CASK
NALCN	SMARCB1
NALCN	CC2D2A
NALCN	ANKRD11
NALCN	KCNJ6
NALCN	MAGEL2
NALCN	BCOR
NALCN	PAX3
NALCN	ALDH18A1
NALCN	LMNA
NALCN	ERCC6
NALCN	TNNI2
NALCN	TPM2
NALCN	TNNT3
NALCN	MYH3
NALCN	PEX2
NALCN	AP4B1
NALCN	ATRX
NALCN	OFD1
NALCN	COL2A1
NALCN	FGFR3
NALCN	FLNA
NALCN	COL6A2
NALCN	BRAF
NALCN	KRAS
NALCN	CHST3
NALCN	SLC12A6
NALCN	FGFR1
NALCN	NRAS
NALCN	TMEM67
NALCN	RPGRIP1L
NALCN	CHD7
NALCN	SEMA3E
NALCN	KAT6B
NALCN	SLC26A2
NALCN	MAF
NALCN	PYCR1
NALCN	HOXB1
NALCN	HRAS
NALCN	UBA1
NALCN	SHANK3
NALCN	DPYD
NALCN	TMEM70
NALCN	CHST14
NALCN	FBN1
NALCN	MYBPC1
NALCN	PAFAH1B1
NALCN	YWHAE
NALCN	PEX1
NALCN	PEX5
NALCN	MAFB
NALCN	COL11A2
NALCN	SRCAP
NALCN	FGFR2
NALCN	PQBP1
NALCN	NSD1
NALCN	MBD5
NALCN	TFAP2A
NALCN	RAB18
NALCN	CNTN1
NALCN	GJA1
NALCN	NSUN2
NALCN	KANSL1
NALCN	CHRND
NALCN	PIEZO2
NALCN	EBP
NALCN	MAP2K2
NALCN	UPF3B
NALCN	MECP2
NALCN	MED12
NALCN	RPS6KA3
NALCN	ARX
NALCN	ALG13
NALCN	AP4M1
NALCN	COL11A1
NALCN	PIGV
NALCN	PTCH1
NALCN	ERCC2
NALCN	ERCC5
NALCN	ELN
NALCN	SEMA5A
NALCN	CTNND2
NALCN	TBX1
NALCN	CHRNG
NALCN	CHRNA1
NALCN	COL25A1
NALCN	NAA10
NALCN	COL27A1
NALCN	CHAMP1
NALCN	AGA
NALCN	ZDHHC9
NALCN	DVL1
NALCN	MKS1
NALCN	DHCR7
NALCN	CD96
NALCN	MUSK
NALCN	DOK7
NALCN	RAPSN
NALCN	SIM1
NALCN	NEXMIF
NALCN	CRBN
NALCN	TBX4
NALCN	ACTB
NALCN	KIF7
NALCN	VPS13B
NALCN	AP4S1
NALCN	SKI
