name1	name2
ESRRB	DNAJB6
ESRRB	DLX3
ESRRB	ESX1
ESRRB	TFDP1
ESRRB	VPS26A
ESRRB	PNPLA6
ESRRB	HNF1B
ESRRB	WNT3
ESRRB	TFAP2C
ESRRB	PPP1R8
ESRRB	ELF5
ESRRB	HNRNPU
ESRRB	MAP2K1
ESRRB	SPINT1
ESRRB	PEG10
ESRRB	DPH3
ESRRB	GNPNAT1
ESRRB	FOXD3
ESRRB	SS18
ESRRB	SNX13
ESRRB	RANGAP1
ESRRB	CUBN
ESRRB	COMMD1
ESRRB	CSNK2B
ESRRB	GJB5
ESRRB	TLN1
ESRRB	RTL1
ESRRB	BPTF
ESRRB	HSP90B1
ESRRB	N6AMT1
ESRRB	ZFAT
ESRRB	SSR3
ESRRB	LLGL2
ESRRB	PLAC1
ESRRB	ATAD3A
ESRRB	ATAD3B
ESRRB	ATAD3C
ESRRB	PTBP1
GSC	MN1
GSC	DLX6
GSC	TSHZ1
MAP2K4	TAB2
ALX1	TCOF1
ALX1	MN1
HOXA4	HOXD3
HOXA4	HOXC8
HOXA4	HOXB9
HOXA4	HOXC9
HOXA4	HOXB5
HOXA4	HOXB6
HOXA4	PHC2
HOXA4	GNAI3
HOXA4	PRRG2
HGF	LLGL2
MYF5	MYF6
MYF5	DMRT2
MYF5	RIPPLY2
GDF5	HOXD12
GDF5	HOXD13
GDF5	HOXA11
GDF5	ZBTB16
GDF5	ACP5
GDF5	FMN1
GDF5	BMPR1B
GDF5	PRKG2
GDF5	SPRED2
GDF5	MMP13
GDF5	PRG4
GDF5	LNPK
GDF5	IHH
GDF5	IGFALS
GDF5	SFRP2
GDF5	MATN3
GDF5	EVX2
GDF5	EVC
GDF5	DYM
GDF5	CREB3L2
GDF5	CSGALNACT1
GDF5	OFD1
GDF5	PHOSPHO1
GDF5	INPP4B
GDF5	FAM46A
GDF5	XYLT1
GDF5	BHLHA9
GDF5	COL9A2
GDF5	SCUBE2
HSP90AB1	DLX3
HSP90AB1	GCM1
HSP90AB1	MAP2K1
HSP90AB1	SNX13
HOXD3	UNCX
HOXD3	HOXC9
HOXD3	HOXB5
HOXD3	HOXB6
HOXD3	HOXB3
HOXD3	DEAF1
HOXD3	PHC2
HOXD3	HOXD1
HOXD3	WNT9A
HOXD3	TSHZ1
HOXD3	MBTD1
CDH2	CFLAR
CDH2	WASF2
CDH2	RTTN
CDH2	MYL7
CDH2	PPP3R1
CDH2	UBP1
CDH2	STRAP
CDH2	MIB1
CDH2	PTPRB
CDH2	ABI1
HOXC8	HOXB9
HOXC8	HOXC9
HOXC8	SF3B1
HOXC8	PHC2
HOXC8	TAPT1
HOXC8	POLR1E
HES5	TMC1
HES5	PTPRQ
HES5	GRXCR1
HES5	DFNA5
HES5	TMPRSS3
HES5	ANKRD6
DNAJB6	DLX3
DNAJB6	HUS1
DNAJB6	TFDP1
DNAJB6	VPS26A
DNAJB6	PNPLA6
DNAJB6	ZFP36L1
DNAJB6	HNRNPU
DNAJB6	DDX11
DNAJB6	SPINT1
DNAJB6	IPMK
DNAJB6	PEG10
DNAJB6	DPH3
DNAJB6	SS18
DNAJB6	RANGAP1
DNAJB6	RICTOR
DNAJB6	CUBN
DNAJB6	GATAD2A
DNAJB6	GJB5
DNAJB6	TLN1
DNAJB6	SLC34A2
DNAJB6	TMED2
DNAJB6	KAT7
DNAJB6	UBR4
DNAJB6	POMT2
DNAJB6	ARAP3
DNAJB6	TJP1
NRL	PDE6B
NRL	MFRP
NRL	RS1
NRL	TULP1
