GENEA	GENEB
TSC1	TSC2
NDUFA8	NDUFS5
ATIC	PAICS
TADA1	TAF5L
NDUFA8	NDUFV2
TADA2B	TAF5L
EARS2	MRPS6
SUPT20H	TAF5L
SUPT20H	TADA1
MRPS6	MRPS24
MRPL43	MRPS6
CAD	UMPS
KIDINS220	XPR1
EARS2	LARS2
NDUFS1	NDUFS5
SUPT20H	TADA2B
TWNK	EARS2
GART	PAICS
NDUFC1	NDUFV2
NDUFB3	NDUFS5
FARS2	LARS2
NDUFA8	NDUFA11
MARS2	MRPS11
UBA5	UFM1
NDUFS1	NDUFV2
NDUFB8	NDUFB10
EARS2	KIAA0391
UQCRB	UQCRC2
NDUFA8	NDUFS2
LARS2	MRPS6
NDUFS5	NDUFV2
NDUFA8	NDUFS8
NDUFA8	NDUFS1
MRPS6	MRPS14
GTPBP10	MRM3
TWNK	MRPS6
ATIC	PFAS
TADA1	TADA2B
NDUFA8	NDUFC1
NDUFA6	NDUFB10
MRPL21	MRPS6
HARS2	MARS2
FARS2	MRPS6
AP2M1	AP2S1
NDUFA6	NDUFA8
MRPS6	MRPS12
GART	PPAT
MRPL15	MRPS6
NDUFA8	NDUFB10
PAICS	PFAS
ATIC	PPAT
MRPL23	MRPS6
MARS2	MRPL43
HARS2	MRPS6
NDUFA8	NDUFA10
MRPL15	MRPL18
ATIC	GART
NDUFA8	NDUFB8
NDUFA2	NDUFA8
NDUFA10	NDUFV2
NDUFB6	NDUFC1
NDUFA10	NDUFS5
NDUFA10	NDUFS1
MARS2	MRPS6
MRPL15	MRPL39
LARS2	MRPS25
FOXRED1	NDUFC1
NDUFB8	NDUFS5
NDUFAF1	NDUFS2
NDUFA11	NDUFS5
FARS2	MRPS24
NDUFA8	NDUFB6
NDUFA11	NDUFB8
KIAA0391	MRPS6
EARS2	MRPL39
MRPL15	MRPS11
NDUFA6	NDUFV2
MRPL23	MRPL43
LARS2	MRPL47
NDUFB6	NDUFB8
NDUFB6	NDUFB10
LARS2	VARS2
FOXRED1	NDUFA8
EARS2	FARS2
NDUFS2	NDUFV2
NDUFB6	NDUFS2
MRPS6	MTG2
MRPS6	MRPS11
NDUFS8	NDUFV2
NDUFA2	NDUFB8
MRPL15	MRPL46
KIAA0391	MRPL15
EARS2	MRPL43
MRPL18	MRPL46
GFM1	LARS2
NDUFS2	NDUFS5
NDUFB8	NDUFS1
LARS2	TFB1M
EARS2	MRPL15
TWNK	LARS2
NDUFB10	NDUFS2
MRPL57	MRPS11
MRPL18	MRPS6
MRPL15	MRPS18C
EARS2	MRPS14
NDUFB10	NDUFV2
MARS2	MRPL21
GNPDA2	OCLM
FARS2	KIAA0391
MRPS6	TFB1M
MRPL15	MRPL43
EARS2	MARS2
DLD	LIAS
NDUFA6	NDUFS8
NDUFA2	NDUFS2
MRPL16	MRPL18
HARS2	MRPS11
GRB2	PTPN11
MRPL46	MRPS14
LRPPRC	MRPS6
LARS2	NARS2
KIAA0391	LARS2
MRPL39	MRPL43
MARS2	MRPL33
NDUFA8	NDUFAF1
NDUFA6	NDUFB6
MRPL43	MRPS24
MARS2	MRPS24
MARS2	MRPL10
GART	PFAS
DHODH	UMPS
OCLM	SULT1E1
NDUFC1	NDUFS2
NDUFB10	NDUFS1
NDUFA11	NDUFB6
MRPS6	MRPS16
MRPL43	MTG2
EARS2	MRPL23
PFAS	PPAT
NDUFB10	NDUFC1
MRPS6	MRPS25
MARS2	MRPL57
HARS2	MRPL43
NDUFS1	NDUFS8
NDUFA8	NDUFB3
NDUFA6	NDUFB8
NDUFA2	NDUFS5
MRPL16	MRPS6
MRPL15	MRPL16
MRPL10	MRPS6
TWNK	MRPS25
NDUFS1	NDUFS7
NDUFA11	NDUFS1
MRPL15	MRPL17
LARS2	MRPL23
FOXRED1	NDUFV2
TWNK	MRPS14
TWNK	FARS2
NDUFS1	NDUFS2
NDUFA2	NDUFA10
MRPL18	MRPL53
MARS2	MRPL15
LRPPRC	MRPL15
HARS2	MRPL10
UBE2H	YPEL5
NDUFS5	NDUFS8
NDUFC1	NDUFS5
NDUFA11	NDUFV2
MRPS18B	MRPS24
FARS2	MRPL43
NDUFB8	NDUFV2
NDUFA6	NDUFS1
NDUFA2	NDUFB6
MRPL57	MRPS6
MRPL33	MRPS6
MRPL21	MRPS11
HARS2	MRPL39
GFM1	MRPS25
EEFSEC	SEPSECS
ADSL	PAICS
AARS2	EARS2
UQCRC1	UQCRC2
NDUFA2	NDUFS1
NDUFA11	NDUFS2
MRPL20	MRPL43
MRPL10	MRPL43
GTPBP10	MTG1
FOXRED1	NDUFAF1
COA6	COA7
SDHA	SDHB
NDUFS2	NDUFS8
MRPL46	MRPS6
MRPL33	MRPS24
MRPL15	MRPL23
MRPL10	MRPL15
NDUFA2	NDUFV2
MRPL15	MRPS24
HARS2	MRPL57
EARS2	QRSL1
EARS2	HARS2
CAD	DHODH
TWNK	HARS2
NDUFB8	NDUFS2
MTHFD1	PAICS
MRPL47	MRPS6
MRPL39	MRPS24
MRPL18	MRPS11
MRPL15	MRPL32
LARS2	MRPL20
HARS2	MRPS24
EARS2	MRPS25
NDUFA6	NDUFC1
NDUFA2	NDUFC1
MRPL15	MTG2
MARS2	MRPL46
NDUFC1	NDUFS8
MRPS6	PTCD3
MRPL21	MRPS14
MRPL20	MRPS6
MRPL10	MRPS11
LARS2	MRPL46
RNASEH2A	RNASEH2C
NDUFB8	NDUFC1
NDUFA6	NDUFS5
MRPL57	MRPS24
MRPL15	MRPS14
FARS2	MARS2
NDUFAF1	NDUFC1
NDUFA6	NDUFAF4
MRPS14	MRPS24
LARS2	MRPL43
HARS2	MRPL21
TWNK	MRPL39
UFL1	UFM1
STX4	STXBP3
OCLM	ZNF99
NDUFA10	NDUFS8
NDUFA10	NDUFS2
MTG1	MRM3
MRPS11	MRPS18B
MRPL28	MTG2
MRPL18	MRPL21
MRPL10	MRPL57
MBTPS1	SCAP
FOXRED1	NDUFS5
NDUFB6	NDUFS5
MRPS11	MRPS24
MRPL43	MRPS14
MRPL43	MRPS12
MRPL39	MRPS11
MRPL21	MRPS24
MARS2	YARS2
EARS2	MTG2
NDUFA2	NDUFA11
MRPS6	RARS2
MRPS25	SSBP1
MRPL43	TRUB2
MRPL23	MRPL47
MRPL17	MRPS6
COX4I1	UQCRC2
OCLM	RNF19A
NDUFC1	NDUFS1
NDUFA11	NDUFC1
MTG1	MTG2
MRPS12	TFB1M
MRPS11	MRPS14
MRPL40	MRPS6
MRPL39	MRPS16
MRPL18	MRPL32
TWNK	KIAA0391
ADSL	ATIC
NDUFA11	NDUFS8
NCAPD3	NCAPG2
MRPL33	MRPS11
MRPL15	MRPL21
KIAA0391	MARS2
EARS2	MRPS24
EARS2	MRPL21
MRPS16	MRPS24
MRPL20	MRPS25
MRPL18	MRPL39
KIAA0391	QRSL1
FARS2	MRPL39
EARS2	MRPS12
COX4I1	PET117
AARS2	MRPS6
MRPS11	YARS2
MRPL39	MRPS12
MRPL33	MRPL57
MRPL17	MRPS24
MRPL16	MRPL57
MRPL15	MRPL57
MARS2	MRPL16
LRPPRC	MRPS24
HARS2	MRPL15
SSBP1	TFB1M
MRPL43	MRPS11
MRPL23	MTG2
MRPL21	MRPL43
MRPL17	MRPL57
MRPL16	MRPS14
MARS2	MRPS18B
LRPPRC	MRPL17
LARS2	MRPL39
LARS2	MRPL15
KIAA0391	MRPL46
FARS2	MRPL23
FARS2	MRPL20
DET1	COP1
TWNK	MRPS24
NDUFB10	NDUFS8
NDUFAF4	NDUFB8
NDUFAF4	NDUFB10
MRPS6	MTPAP
MRPS17	SSBP1
MRPL43	MRPL57
MARS2	MRPL18
LARS2	QRSL1
EARS2	MRPL46
CYC1	NDUFB6
TWNK	GFM1
TADA1	TAF6L
NDUFB6	NDUFV2
NDUFA2	NDUFB2
NDUFA11	NDUFB3
NDUFA10	NDUFC1
MRPS6	MTG1
MRPL15	MTERF3
NDUFB3	NDUFV2
NDUFB10	NDUFS5
NDUFA8	NDUFAF4
MTG1	TFB1M
MRPS6	WARS2
MRPS6	MRPS18B
MRPL21	MRPS16
KIAA0391	MRPL43
HARS2	MRPL17
FARS2	HARS2
EARS2	NARS2
TWNK	MRPS12
NDUFA6	TIMMDC1
MRPL39	MRPS14
MRPL23	MRPL39
MRPL21	MRPL39
MRPL16	MRPL46
MRPL14	MRPL15
MARS2	MRPS14
KIAA0391	MRPL39
EARS2	POLG
BCS1L	UQCRC2
ADSL	GMPS
RGP1	RIC1
MRPL39	MRPL57
MRPL20	MTG2
MRPL20	MRPL23
FARS2	MRPS16
FAM200B	OCLM
EARS2	VARS2
EARS2	MRPS11
COA6	DARS2
AARS2	TWNK
MRPL38	MRPL57
MRPL21	MRPL33
MRPL16	MRPL43
MALSU1	MRPL18
FARS2	MRPL15
NDUFAF1	NDUFS5
MTG2	TRUB2
MRPL18	MRPL57
MARS2	MRPL39
EARS2	MRPL16
ATP5F1B	ATP5ME
MRPL33	MRPS23
MRPL17	MRPS11
LRPPRC	MRPL18
LARS2	MRPS24
EARS2	MRPL10
TWNK	MARS2
BCS1L	UQCRB
MRPS12	MRPS24
MRPL17	MRPL43
MRPL16	MRPS11
MARS2	MRPL17
LARS2	SSBP1
GART	MTHFD1
EARS2	MRPS16
COX4I1	CYC1
NDUFB2	NDUFC1
MRPS6	VARS2
MRPS25	VARS2
MRPL18	MRPS24
MRPL16	MRPS18C
MRPL15	MTPAP
MRPL10	MRPL18
LARS2	MTPAP
LARS2	MTG1
HARS2	RARS2
HARS2	LRPPRC
FOXRED1	NDUFS8
EXT1	EXT2
TWNK	MRPL20
POLE3	POLE4
NDUFA8	PET117
NDUFA6	NDUFA11
NDUFA11	NDUFB10
NDUFA10	NDUFA11
MRPS6	POLG
MRPL47	TFB1M
MRPL20	TRUB2
MRPL10	MTG2
LRPPRC	MRPL43
LARS2	MRPS2
HARS2	MRPL23
EXT2	EXTL3
COA7	PET117
TWNK	MTG2
ATIC	MTHFD1
ASNA1	WRB
PAGR1	PAXIP1
NDUFA11	NDUFAF4
MRPL16	MRPL23
MRPL10	MRPL21
MARS2	MRPS23
MARS2	MRPL32
LRPPRC	MRPS11
KIAA0391	MRPS24
KIAA0391	MRPS14
HARS2	LARS2
GTPBP8	MTG1
GFM1	MRPL20
VPS18	VPS33A
PSTK	SEPSECS
MRPS6	QRSL1
MRPS25	TFB1M
MRPL15	MRPS31
EARS2	YARS2
MRPS11	MRPS23
MRPL33	MRPL43
MRPL20	SSBP1
LRPPRC	MRPL39
LRPPRC	MRPL21
KIAA0391	VARS2
HARS2	MTG2
FOXRED1	PET117
CCDC6	FBXO42
TWNK	RARS2
TWNK	POLG
NDUFB6	TIMMDC1
NDUFB6	PET117
MRPS6	TFAM
MRPL46	MRPS18C
MRPL39	MTG2
MRPL18	MRPL43
MRPL10	MRPS14
MRPL10	MRPL33
GFM1	MRPS6
FARS2	MRPL21
TWNK	QRSL1
AARS2	LARS2
NDUFB10	TIMMDC1
NDUFAF1	NDUFV2
MRPS6	TRUB2
MRPS17	MRPS33
MRPL43	MTPAP
MRPL39	MRPS25
MRPL23	MTPAP
MRPL23	MRPL46
MRPL21	YARS2
MRPL15	MRPS12
LARS2	MARS2
GTPBP10	MTERF3
FOXRED1	NDUFS2
FAM200B	SULT1E1
EARS2	MRPL47
DDX28	GTPBP10
CARS2	COA7
AARS2	MARS2
NDUFS1	UQCRC2
NDUFB8	NDUFS8
NDUFB3	NDUFB8
NDUFAF1	NDUFB10
MTHFD1	PPAT
MRPS11	MRPS22
MRPS10	MRPS18C
MRPL40	MRPL57
MRPL23	TFB1M
MRPL18	MRPS5
MRPL16	YARS2
MRPL10	MRPL39
HARS2	YARS2
HARS2	MRPS16
GATC	MARS2
NDUFB6	NDUFS8
MRPL15	MRPL41
MRPL15	MRPL28
MRPL15	MRPL20
MARS2	MRPL23
KIAA0391	MRPL23
HARS2	MRPL40
EARS2	TFB1M
EARS2	MRPL18
NDUFA2	NDUFA6
NDUFA10	NDUFB8
MRPL43	MRPL46
MRPL33	MRPS18B
MRPL16	MTG2
MARS2	TFAM
LARS2	MRPL21
KIAA0391	MRPL21
HARS2	MRPS12
COA7	DARS2
AARS2	MRPL15
SSBP1	TRUB2
MRPS6	MRPS22
MRPS12	TRUB2
MRPL43	MTG1
MRPL20	MRPS17
MRPL15	YARS2
MRPL15	MRPL33
LARS2	MRPS14
HARS2	MRPL18
FOXRED1	NDUFAF5
COA6	UQCRC2
POLRMT	SSBP1
NDUFAF1	NDUFB6
NDUFA8	NDUFB2
NDUFA2	NDUFS8
MRPL18	MRPS14
MRPL15	MRPS18B
MRPL14	MRPS6
MRPL10	MRPL23
EARS2	SARS2
EARS2	RARS2
EARS2	MRPL57
EARS2	MRPL20
DDX28	MRM3
DDX28	MRPS6
CYC1	NDUFS2
