A	B
POLDIP2	HCCS
KLHL13	TSPOAP1
POLDIP2	GDE1
ARHGAP33	REX1BD
WDR54	OSBPL7
KDM7A	IFRD1
AK2	COX10
TSPOAP1	ARHGAP44
KIAA0100	NADK
KLHL13	ADAM22
TMEM98	CYB561
GAS7	CYB561
PRKAR2B	MGST1
ADIPOR2	MGST1
COPZ2	NFIX
KIAA0100	ST3GAL1
NADK	ST3GAL1
RHBDF1	PKD1
KIAA0100	CSDE1
PRKAR2B	MLXIPL
MGST1	MLXIPL
PIGQ	UQCRC1
ITGA3	CD9
PRKAR2B	SEMA3G
MPND	FUZ
ALDH3B1	BTK
CD4	HFE
NADK	ELOA
ST3GAL1	ELOA
CSDE1	ELOA
CROT	MKS1
GGCT	ABHD5
NIPAL3	SYT7
TMEM98	DCN
GAS7	DCN
ALDH3B1	TYROBP
MATK	TYROBP
TMEM98	TMEM159
PRKAR2B	ELOVL5
ADIPOR2	ELOVL5
MGST1	ELOVL5
MLXIPL	ELOVL5
MCUB	MVP
GGCT	PGM3
BTK	TACC3
GCLC	MDH1
ELOVL5	MDH1
KLHL13	MTMR11
CAMKK1	MTMR11
TSPOAP1	MTMR11
TMEM98	MTMR11
ARHGAP44	MTMR11
CD9	MTMR11
TMEM159	MTMR11
EHD3	MTMR11
FBXL3	YAF2
ALDH3B1	WAS
HIVEP2	WWTR1
TSPOAP1	ADGRA2
TMEM98	ADGRA2
ADAM22	ADGRA2
MTMR11	ADGRA2
BRCA1	CPS1
PHLDB1	FHL1
ITGA3	PLEKHO1
PRKAR2B	GCLM
ADIPOR2	GCLM
MGST1	GCLM
ELOVL5	GCLM
PGM3	GCLM
TBXA2R	HSD17B6
ALDH3B1	RNASET2
TYROBP	RNASET2
TACC3	RNASET2
CD9	CD44
IFFO1	AGPAT4
ANGEL1	AGPAT4
MATK	SLAMF7
CCDC88C	BTN3A1
POLDIP2	B4GALT7
AK2	B4GALT7
RHBDD2	B4GALT7
CD6	SH2D2A
ALDH3B1	GRN
TACC3	GRN
RNASET2	GRN
RPUSD1	CHPF2
REV3L	SLC4A7
HIVEP2	SLC4A7
REX1BD	TMSB10
CROT	SH3YL1
PIAS1	FBXO42
THSD7A	MFAP3
TNFRSF1B	MFAP3
FGR	MSR1
SLC4A7	RAI14
MAD1L1	PNKP
PNPLA6	PNKP
PRKAR2B	AIFM2
MGST1	AIFM2
MLXIPL	AIFM2
SEMA3G	AIFM2
ELOVL5	AIFM2
GCLM	AIFM2
PRKAR2B	RETSAT
ADIPOR2	RETSAT
MGST1	RETSAT
MLXIPL	RETSAT
ELOVL5	RETSAT
MDH1	RETSAT
ALDH3B1	CAPG
B4GALT7	AP2S1
BAK1	AP2S1
CSDE1	DCUN1D1
TSPAN6	DSG2
OFD1	CTPS2
CFLAR	FAM214A
AASS	FAM214A
CAPN1	KIAA0556
CDKL5	USP28
ADAM22	CC2D2A
MTMR11	CC2D2A
CLEC16A	VPS13D
FAM214A	CELF2
BTN3A1	KITLG
KIAA0100	H6PD
ST3GAL1	H6PD
KLHL13	LTBP1
TSPOAP1	LTBP1
TBXA2R	LTBP1
HSD17B6	LTBP1
GDE1	CLPTM1L
COX10	CLPTM1L
KIAA0100	CLPTM1L
B4GALT7	CLPTM1L
KLHL13	DKK3
TSPOAP1	DKK3
CD9	DKK3
MTMR11	DKK3
BTK	SLC4A8
TYROBP	SLC4A8
DEF6	SLC4A8
RNASET2	SLC4A8
PRKAR2B	PTGER3
MGST1	PTGER3
ELOVL5	PTGER3
GCLM	PTGER3
AIFM2	PTGER3
RETSAT	PTGER3
NEDD4L	PTGER3
PLEKHO1	BCAR1
TNFRSF1B	BCAR1
RAI14	BCAR1
TMEM98	HOMER3
IFFO1	HOMER3
PLEKHO1	HOMER3
TIMP2	HOMER3
ALDH3B1	CYBA
PRKAR2B	HEBP2
GGCT	HEBP2
ARSD	HEBP2
ADIPOR2	HEBP2
NADK	HEBP2
AASS	HEBP2
MGST1	HEBP2
ABHD5	HEBP2
AIFM2	HEBP2
RETSAT	HEBP2
NEDD4L	HEBP2
