A	B
TMEM176A	CASP10
ICA1	CASP10
CFLAR	RBM5
FGR	CD38
LAP3	SLC25A5
FGR	MCUB
TMEM176A	MCUB
TFPI	MCUB
DHX33	CIAPIN1
CFH	WDR54
TFPI	WDR54
CASP10	ITGAL
LAP3	GGCT
RAD52	ARHGAP44
RBM6	ARHGAP44
TSPOAP1	ARHGAP44
OSBPL7	ARHGAP44
ZFX	ARSD
TMEM176A	GAS7
MCUB	GAS7
ITGAL	MATK
LAS1L	ST7L
COX10	RPUSD1
CFLAR	LUC7L
OSBPL7	LUC7L
CDKL5	CYTH3
PLXND1	CYB561
PRKAR2B	MGST1
GAS7	MGST1
PDK2	NFIX
CASP10	TRAF3IP3
MATK	TRAF3IP3
RECQL	VTA1
MGST1	MLXIPL
KDM7A	RANBP9
PHTF2	RANBP9
KIAA0100	EEF1AKNMT
LUC7L	ZNF207
ST7	CD9
COPZ2	CD9
CREBBP	NCAPD2
RBM6	NISCH
ZNF207	NISCH
CASP10	STAB1
FGR	BTK
CASP10	BTK
ETV1	HFE
POMT2	LYPLA2
ZNF207	CLCN6
ITGA3	MRC2
ZNF207	AKAP8L
CFLAR	MBTD1
CLCN6	MBTD1
KIAA0100	WIZ
WIZ	PPP5C
TRAF3IP3	TYROBP
QPCTL	ERCC1
ITGAL	CD22
UBE3C	EXTL3
ICA1	ALOX5
MCUB	ALOX5
TMEM159	CALCOCO1
IDS	MAN2B2
ERCC1	PGM3
RAD52	CLK1
AKAP8L	CLK1
GDE1	DNASE1L1
BAD	HEBP1
FGR	TACC3
CASP10	TACC3
PLXND1	TACC3
MCUB	TACC3
STAB1	TACC3
CD4	TACC3
BTK	TACC3
TYROBP	TACC3
ALOX5	TACC3
SYPL1	MDH1
MAP4K5	SLC30A9
RBM6	MTMR11
TSPOAP1	MTMR11
TBXA2R	MTMR11
RHBDF1	MTMR11
CEP68	COX15
TRAF3IP3	CCDC88C
CD6	CCDC88C
CASP10	WAS
MCUB	WAS
SLC25A13	BID
UTP18	BID
AKAP8L	MATR3
MTMR11	MATR3
MGST1	IGF1
CFLAR	RUFY3
AKAP8L	RUFY3
EXTL3	PRDM11
CRY1	SAMD4A
CDKL5	FHL1
NDUFAB1	RNH1
LAP3	ALAS1
CASP10	DEF6
MATK	DEF6
STAB1	DEF6
CD4	DEF6
TYROBP	DEF6
TACC3	DEF6
CD74	DEF6
FUZ	CCDC28A
CASP10	NR1H3
MCUB	TYMP
TYROBP	TYMP
DEF6	TYMP
ST7	VIM
COPZ2	VIM
CD9	VIM
TMEM159	VIM
CALCOCO1	VIM
CASP10	RNASET2
RANBP9	CD44
MATK	SLAMF7
TMEM176A	PRKCH
ICA1	PRKCH
THSD7A	PRKCH
CCDC88C	PRKCH
WAS	PRKCH
DEF6	PRKCH
LAP3	IFNGR1
CASP10	TNFRSF1B
DEF6	TNFRSF1B
PRKCH	TNFRSF1B
ZNF195	BAK1
PLXND1	GRN
ALDH3B1	GRN
CD4	GRN
TACC3	GRN
ALAS1	ARHGAP31
SNX11	ALG1
BAK1	ALG1
EXTL3	CHPF2
BAK1	CHPF2
GCLC	FUT8
LUC7L	UBA6
CALCOCO1	GAB2
UBA6	SLC4A7
CD99	GABARAPL2
VIM	GABARAPL2
CDKL5	VCL
CYTH3	VCL
YAF2	ADSS2
ST7	TIMP2
COPZ2	TIMP2
GABARAPL2	TIMP2
RBM6	TUBG2
RUFY3	TUBG2
TMEM159	FBXO42
CALCOCO1	FBXO42
SLC45A4	FBXO42
SPRTN	MFAP3
ZNF200	MFAP3
ARHGAP31	MFAP3
GGCT	METTL1
COPZ2	AGA
RNF216	TRIO
VCL	TRIO
ANOS1	VCAN
FGR	MSR1
PRKAR2B	C6
CDKL5	RAI14
RBM6	PHLPP2
RPUSD1	SPDL1
SPRTN	SPDL1
ZNF200	SPDL1
ALG1	SPDL1
MAD1L1	PARP3
LRRC23	THAP3
MGST1	RIPOR3
MLXIPL	RIPOR3
ADIPOR2	AIFM2
RUFY3	SPATA7
ADIPOR2	RETSAT
BTK	CAPG
MSR1	CAPG
LAP3	AP2S1
TMSB10	AP2S1
CD74	ADAM28
RB1CC1	DCUN1D1
CASP10	LCP2
MCUB	LCP2
TACC3	LCP2
TYMP	LCP2
PRKCH	LCP2
CFLAR	PHKA2
CALCOCO1	PHKA2
ATP6V0A1	OFD1
STAU2	CTPS2
PHF7	FAM214A
CASP10	ARAP2
ITGAL	ARAP2
TRAF3IP3	ARAP2
CD6	ARAP2
CCDC88C	ARAP2
CD74	ARAP2
DEF6	ARAP2
PRKCH	ARAP2
TNFRSF1B	ARAP2
LCP2	ARAP2
AASS	SCML1
CYTH3	WWC3
CYTH3	MAP4
ST7	HDAC9
MTMR11	HDAC9
POMT2	TSPAN17
C12orf4	MRPS10
DHX33	FAM120A
KIAA0100	FAM120A
MTMR11	COL9A2
PHTF2	LTBP1
CD9	LTBP1
VCAN	LTBP1
JADE2	PTCD2
GDE1	JKAMP
UBA6	LIMA1
DVL2	LETMD1
CEP68	LETMD1
MAP4K5	MAPK9
ITGA3	BCAR1
CD9	BCAR1
EHD3	BCAR1
RAI14	BCAR1
ERCC1	HOMER3
TOMM34	HOMER3
CASP10	CYBA
PLXND1	CYBA
MCUB	CYBA
CC2D2A	PLEKHA5
UBE3C	SIKE1
ERCC1	RRP12
HIVEP2	FNIP2
ELOVL5	FNIP2
CD44	FNIP2
SLC4A7	FNIP2
NFIX	FOXN3
GAB2	FOXN3
VCL	FOXN3
MAP4	FOXN3
DVL2	AKR7A2
LAP3	MRTO4
BTN3A1	NRIP2
ADGRA2	LAMA3
RB1CC1	AP5M1
FGR	KCNQ1
STAB1	KCNQ1
DEF6	KCNQ1
MSR1	KCNQ1
LCP2	KCNQ1
PIK3CB	ARID4B
CDKL5	KIF1B
CYTH3	KIF1B
RNF19A	KIF1B
TRIO	KIF1B
CD9	FOXC1
LTBP1	FOXC1
CYTH3	ATP9A
CALCOCO1	ATP9A
CASP10	GALC
BID	GALC
SPATA7	GALC
NFE2L3	GALC
