A	B
FUCA2	LAP3
BAD	CD99
FGR	ICA1
ICA1	CASP10
CFLAR	RBM5
MTMR7	SLC7A2
SEMA3F	PLXND1
BAD	NDUFAB1
ARF5	NDUFAB1
LAP3	SLC25A5
TSPAN6	MCUB
CASP10	MCUB
CASP10	MEOX1
ICA1	THSD7A
CASP10	THSD7A
MCUB	WDR54
CASP10	ITGAL
PLXND1	OSBPL7
TSPAN6	TMEM98
WDR54	TMEM132A
OSBPL7	SPATA20
CASP10	BAIAP2L1
THSD7A	BAIAP2L1
SNX11	COX10
OSBPL7	ARHGAP44
CASP10	CD79B
MEOX1	CD79B
RHBDD2	RPUSD1
ARHGAP33	RHBDF1
RAD52	LUC7L
ARF5	PSMB1
CASP10	CYB561
MCUB	CYB561
WDR54	CYB561
TMEM132A	CYB561
FARP2	SPAG9
ARHGAP33	PKD1
RHBDF1	PKD1
NFIX	PKD1
ITGA3	RHOBTB2
ARF5	RPS20
ADAM22	TENM1
TENM1	MASP2
LUC7L	POMT2
NDUFAB1	DYRK4
SPAG9	ZNF207
CD99	CD9
COPZ2	CD9
ALDH3B1	IFFO1
ICA1	SEMA3G
CASP10	SEMA3G
MEOX1	SEMA3G
CD79B	SEMA3G
SCN4A	SEMA3G
RBM6	NISCH
CASP10	STAB1
CYB561	STAB1
MPND	FUZ
CASP10	CD4
ITGAL	CD4
CYB561	CD4
TRAF3IP3	CD4
TSPOAP1	HFE
ICA1	FYN
LYPLA2	APBA3
IFFO1	MKS1
CFLAR	MBTD1
ITGAL	ALOX5
TRAF3IP3	ALOX5
BAD	SLC25A39
MCUB	MVP
GGCT	MVP
PLAUR	MVP
PHTF2	PGM3
AKAP8L	CLK1
KIAA0100	ANGEL1
CD4	CD6
CYB561	TACC3
STAB1	TACC3
CD4	TACC3
BTK	TACC3
ALOX5	TACC3
IDS	UFL1
MARK4	ZC3H3
DYRK4	MDH1
RHBDF1	MTMR11
PKD1	MTMR11
MEOX1	CCDC88C
THSD7A	CCDC88C
CD79B	CCDC88C
CYB561	CCDC88C
SEMA3G	CCDC88C
SYPL1	YAF2
RANBP9	YAF2
TFPI	BID
MCUB	BID
PLXND1	XYLT2
FUCA2	GLT8D1
SPPL2B	PHLDB1
CASP10	CD74
TRAF3IP3	CD74
CD6	CD74
POLR3B	NCDN
FUZ	ZFP64
POLR3B	ZFP64
RBM5	MRE11
GGCT	SERPINB1
MTMR11	CPS1
MDH1	RTF2
PDK2	SLC45A4
CALCOCO1	SLC45A4
CD4	GRAMD1B
BAD	RNH1
NDUFAB1	RNH1
PIGQ	RNH1
SLC25A39	RNH1
GGCT	SNAPC1
LAMP2	DERA
STAB1	DEF6
CD4	DEF6
TYROBP	DEF6
TACC3	DEF6
CD74	DEF6
TBXA2R	EHD2
NCDN	EHD2
CASP10	NR1H3
CYB561	TYMP
STAB1	TYMP
CD4	TYMP
TYROBP	TYMP
CD74	TYMP
DEF6	TYMP
CD99	VIM
ST7	VIM
CD9	VIM
FHL1	VIM
PGM3	FAS
CD74	RNASET2
PLXND1	AGPAT4
FGR	PRKCH
ICA1	PRKCH
MEOX1	PRKCH
THSD7A	PRKCH
TMEM132A	PRKCH
BAIAP2L1	PRKCH
CD79B	PRKCH
SEMA3G	PRKCH
CCDC88C	PRKCH
TFPI	IFNGR1
MCUB	IFNGR1
UTP18	IFNGR1
BID	IFNGR1
SERPINB1	IFNGR1
ICA1	TNFRSF1B
CASP10	TNFRSF1B
THSD7A	TNFRSF1B
CD4	TNFRSF1B
CCDC88C	TNFRSF1B
PRKCH	TNFRSF1B
PLAUR	ARNTL2
SEC63	BCLAF1
CROT	TFB1M
B4GALT7	BAK1
TMEM98	GRN
IFFO1	GRN
TSPAN6	ARHGAP31
NIPAL3	ARHGAP31
ICA1	ARHGAP31
CASP10	ARHGAP31
MCUB	ARHGAP31
THSD7A	ARHGAP31
WDR54	ARHGAP31
TMEM132A	ARHGAP31
BAIAP2L1	ARHGAP31
CYB561	ARHGAP31
CCDC88C	ARHGAP31
NR1H3	ARHGAP31
PRKCH	ARHGAP31
TNFRSF1B	ARHGAP31
MAD1L1	PNPLA6
COX15	IFT88
RHBDD2	ALG1
GGCT	ABCF2
B4GALT7	CHPF2
BAK1	CHPF2
FUCA2	FUT8
CALCOCO1	GAB2
LAS1L	ATP6V0A1
PGM3	SLC4A7
SAMD4A	MAP2K3
WDR54	TMSB10
TYROBP	TMSB10
PSMB1	GABARAPL2
DYRK4	GABARAPL2
MDH1	GABARAPL2
GLT8D1	GABARAPL2
EXTL3	VCL
MAP4K3	CUL3
ARF5	RPL26L1
TOMM34	RPL26L1
ICA1	FLT4
MEOX1	FLT4
CD79B	FLT4
SCN4A	FLT4
SEMA3G	FLT4
CCDC88C	FLT4
PRKCH	FLT4
FBXL3	FBXO42
NADK	FBXO42
CALCOCO1	FBXO42
ARHGAP31	MFAP3
IFFO1	MRI1
COPZ2	AGA
MBTD1	BOD1L1
VEZT	MAT2B
CASP10	TLL1
MEOX1	TLL1
CD79B	TLL1
SEMA3G	TLL1
CCDC88C	TLL1
PRKCH	TLL1
FLT4	TLL1
EDC4	TRIO
ANOS1	VCAN
LIG3	CLEC16A
DEF6	MSR1
PTBP1	RIPOR1
CAPN1	RIPOR1
VPS41	STAU2
APBA3	SLC66A1
EEF1AKNMT	CTNS
XYLT2	CTNS
IFFO1	PARP3
GRN	PARP3
PNKP	PARP3
HEBP1	THAP3
PHF23	AIFM2
BAD	AP2S1
RHBDD2	AP2S1
RPUSD1	AP2S1
CD4	ADAM28
BTK	ADAM28
WAS	ADAM28
MSR1	ADAM28
PDK2	JADE2
SLC45A4	JADE2
AK2	TRIT1
PLXND1	CUL7
ARHGAP44	CUL7
CTNS	CUL7
RBM6	PHKA2
LUC7L	PHKA2
EDC4	PHKA2
TSPAN6	EPHA3
ADAM22	EPHA3
ICA1	DSG2
THSD7A	DSG2
SEMA3G	DSG2
PRKCH	DSG2
FLT4	DSG2
TLL1	DSG2
UBA6	OFD1
CFLAR	WDR37
RBM5	WDR37
IFT88	YTHDC2
MNAT1	ATP6V1H
PHF7	FAM214A
PIAS1	FAM214A
ICA1	ARAP2
CASP10	ARAP2
ITGAL	ARAP2
TRAF3IP3	ARAP2
CD4	ARAP2
BTK	ARAP2
CD74	ARAP2
DEF6	ARAP2
PRKCH	ARAP2
TNFRSF1B	ARAP2
ADAM28	ARAP2
ICA1	ANO2
CASP10	ANO2
PRKCH	ANO2
ARHGAP31	ANO2
YTHDC2	SCML1
MVP	TSPAN17
CTNS	TSPAN17
BAK1	NOP16
UBR7	ZNF800
PIAS1	CELF2
EPHA3	KITLG
PEX3	ERCC8
ST3GAL1	H6PD
ITGA3	LTBP1
VIM	LTBP1
FUCA2	RCN1
LAP3	RCN1
TOMM34	RFC2
ABCF2	RFC2
NOP16	RFC2
RNH1	CLPTM1L
RCN1	HEXB
POLR3B	PTCD2
CD9	DKK3
VIM	DKK3
RBM5	LIMA1
LTBP1	PTGER3
WDR54	HOMER3
MVP	HOMER3
GRN	HOMER3
TMSB10	HOMER3
MAP4K3	PIK3CB
RSF1	PIK3CB
MCUB	CYBA
WDR54	CYBA
MSR1	CYBA
HOMER3	CYBA
ANGEL1	MPHOSPH9
RUFY3	MPHOSPH9
HIVEP2	FNIP2
CFLAR	TTC17
BOD1L1	TTC17
GAB2	FOXN3
NFIX	METTL24
CC2D2A	METTL24
COPZ2	AKR7A2
LRRC23	AKR7A2
AGA	AKR7A2
LAP3	MRTO4
ERCC1	MRTO4
SERPINB1	MRTO4
B4GALT7	MRTO4
BAK1	MRTO4
BAD	USE1
STAB1	KCNQ1
CD74	KCNQ1
DEF6	KCNQ1
TNFRSF1B	KCNQ1
MSR1	KCNQ1
LCP2	KCNQ1
TSR3	PHPT1
EIPR1	PHPT1
ZCCHC8	ARID4B
THRAP3	ARID4B
ITGA3	FOXC1
FHL1	FOXC1
LTBP1	FOXC1
CALCOCO1	ATP9A
SPATA7	GALC
SLC30A9	FAM114A2
BTBD7	TAB2
ADSS2	GINM1
RNH1	MRPL43
GABARAPL2	MRPL43
FAM136A	HPF1
ARHGAP33	TRAF1
PKD1	TRAF1
MTMR11	TRAF1
GGCT	TRAF3IP2
TFPI	SOAT1
KDM7A	SOAT1
ST3GAL1	SOAT1
ABHD5	SOAT1
ITGAL	PRDM1
TRAF3IP3	PRDM1
CD4	PRDM1
WAS	PRDM1
DEF6	PRDM1
TYMP	PRDM1
TNFRSF1B	PRDM1
ADAM28	PRDM1
ARAP2	PRDM1
ICA1	TMCC3
CASP10	TMCC3
THSD7A	TMCC3
SEMA3G	TMCC3
CCDC88C	TMCC3
PRKCH	TMCC3
ARHGAP31	TMCC3
FAM214A	USP13
MAP4K3	ATP11B
PUM2	ATP11B
NEXMIF	CDK14
ERCC1	SEC61A1
SH3YL1	PPP1R12A
PLXND1	CROCC
TSPOAP1	CROCC
ARHGAP44	CROCC
KLHL13	ATP2B4
NFIX	ATP2B4
CC2D2A	ATP2B4
METTL24	ATP2B4
ABCF2	YIPF1
NOP16	YIPF1
MRTO4	YIPF1
TRAF3IP2	YIPF1
PHF7	UNKL
JADE2	UNKL
TSPAN6	PARP12
PLXND1	PARP12
WDR54	PARP12
MAP3K14	PARP12
CYB561	PARP12
NR1H3	PARP12
RNASET2	PARP12
ARHGAP31	PARP12
RAI14	ALDH18A1
HSPA5	ALDH18A1
BCAR1	ALDH18A1
SPATA20	TARBP1
BTN3A1	TARBP1
PLEKHH1	TARBP1
MKS1	GATB
POLR3B	GATB
KDM7A	MXD1
TFPI	CDK17
KDM7A	CDK17
REV3L	CDK17
BIRC3	CDK17
IFNGR1	CDK17
SOAT1	CDK17
STRAP	DNAJC25
PI4K2B	DNAJC25
NOP16	YBX3
YIPF1	YBX3
BTBD7	WNK1
STAB1	GNA15
CD4	GNA15
PLAUR	GNA15
CD74	GNA15
DEF6	GNA15
KCNQ1	GNA15
PRDM1	GNA15
LAP3	SNRNP40
MRE11	QSER1
BOD1L1	QSER1
EIF2AK2	QSER1
ZNF280C	QSER1
PSMB1	MPC1
GABARAPL2	MPC1
ST3GAL1	HDAC7
H6PD	HDAC7
CCDC88C	LZTS1
FLT4	LZTS1
TLL1	LZTS1
BTBD7	NCKAP1
MAP4K3	NCKAP1
FAM114A2	MRPS35
PHKA2	TNK2
FLYWCH1	TNK2
MAP4K3	WAPL
UBR2	WAPL
ARNTL2	VMP1
MAD1L1	POLD1
PHF7	SLC6A16
OSBPL5	BICRA
OGFR	BICRA
NADK	SPHK2
SLC66A1	SPHK2
HOMER3	ISOC2
RIPOR1	U2AF2
ZC3H3	EPN1
NCDN	ADCK1
AGPAT4	ADCK1
EIPR1	ADCK1
MRI1	ADCK1
SPHK2	HAGH
LIMA1	CASP8
PARP12	CASP8
ITGA3	LIMCH1
LTBP1	LIMCH1
PTGER3	LIMCH1
FOXC1	LIMCH1
SNAPC1	INTS13
TDP1	INTS13
TRAF3IP3	LPAR2
PARP12	LPAR2
FUCA2	CTSA
MPND	CTSA
ISOC2	CTSA
RBM6	SUGP2
POMT2	SUGP2
TSPAN6	FAR2
ICA1	FAR2
CASP10	FAR2
MCUB	FAR2
THSD7A	FAR2
BAIAP2L1	FAR2
CYB561	FAR2
FYN	FAR2
TACC3	FAR2
CCDC88C	FAR2
PRKCH	FAR2
ARHGAP31	FAR2
FUT8	FAR2
MFAP3	FAR2
ANO2	FAR2
TMCC3	FAR2
PARP12	FAR2
TRAF3IP2	SBNO2
HOMER3	HMG20B
HAGH	HMG20B
XYLT2	ANKS1A
CTNS	ANKS1A
SEMA3F	SLC9A3R2
FUZ	SLC9A3R2
ISOC2	SLC9A3R2
ADCK1	SLC9A3R2
CX3CL1	NTHL1
MPND	NTHL1
CC2D2A	NTHL1
ADCK1	NTHL1
SLC9A3R2	NTHL1
WWTR1	OAT
GABARAPL2	OAT
C12orf4	WDR3
MCUB	DGKA
WDR54	DGKA
MRC2	DGKA
MVP	DGKA
CDKL5	ANKRD44
PLXND1	PDIA5
WDR54	PDIA5
SPATA20	PDIA5
PARP12	PDIA5
DGKA	PDIA5
ARF5	NDUFB4
CALCOCO1	SPEN
PRDM11	SPEN
FBXO42	SPEN
FOXN3	MYLK
SEC62	SLK
PIK3CB	SLK
PHLPP2	SEC61A2
WDR37	SEC61A2
NFE2L3	SEC61A2
TMEM176A	TLE2
ICA1	TLE2
CASP10	TLE2
TMEM132A	TLE2
CYB561	TLE2
STAB1	TLE2
FYN	TLE2
CCDC88C	TLE2
PRKCH	TLE2
TNFRSF1B	TLE2
ICA1	TIE1
TMEM132A	TIE1
CD79B	TIE1
CCDC88C	TIE1
TNFRSF1B	TIE1
TMCC3	TIE1
FAR2	TIE1
TLE2	TIE1
MYCBP2	DIP2B
ZC3H11A	DIP2B
TACC3	CD84
ADAM28	CD84
ARAP2	CD84
RNH1	ELOVL1
MCUR1	ELOVL1
ITGAL	SPI1
TRAF3IP3	SPI1
HFE	MPPED2
PIK3CB	ZBTB11
SLK	ZBTB11
BOD1L1	ATXN3
QSER1	ATXN3
MBTPS2	LRRC40
AGPAT4	EML1
ARNTL2	MSANTD3
MAP2K3	MSANTD3
BCAR1	MSANTD3
EML1	MSANTD3
ICA1	KIF26A
CASP10	KIF26A
CCDC88C	KIF26A
CFLAR	ATG2B
CRAMP1	ATG2B
QSER1	ATG2B
MAP4K3	ARFGEF1
MCUR1	MTFR1
VPS50	FECH
TAB2	MYO9A
ATP11B	MYO9A
NCKAP1	MYO9A
SLK	MYO9A
BCAR1	PFKP
MSANTD3	PFKP
UTP18	SP100
IFNGR1	SP100
HEXB	SP100
SLC25A5	PLPP1
YIPF1	PLPP1
CC2D2A	NEO1
METTL24	NEO1
ATP9A	NEO1
GGCT	TNFRSF1A
PLAUR	TNFRSF1A
HOMER3	TNFRSF1A
SOAT1	TNFRSF1A
RHBDF1	CACNB1
EIPR1	STOML1
PNKP	STOML1
ERCC1	PKM
BCAR1	PKM
MSANTD3	PKM
POMT2	TP53BP1
ATP2B4	TP53BP1
C12orf4	RRP15
ERCC8	RRP15
MNAT1	RHOA
GABARAPL2	RHOA
NDUFB4	RHOA
ELAVL1	RHOA
CC2D2A	ROGDI
AKR7A2	ROGDI
PHPT1	ROGDI
ADCK1	ROGDI
CDKL5	ROCK1
ATP9A	ROCK1
TBC1D1	ROCK1
ICA1	HYAL2
TMEM132A	HYAL2
SEMA3G	HYAL2
CCDC88C	HYAL2
PRKCH	HYAL2
TNFRSF1B	HYAL2
ARHGAP31	HYAL2
TMCC3	HYAL2
TLE2	HYAL2
TIE1	HYAL2
KIF26A	HYAL2
REV3L	HDAC4
WDR54	IFI35
CYB561	IFI35
MVP	IFI35
CD74	IFI35
EIPR1	IFI35
TMSB10	IFI35
CYBA	IFI35
ISOC2	IFI35
PDIA5	IFI35
IDS	MEF2A
MARK4	TFE3
LAMP2	ACSL4
BTBD1	ACSL4
ST7	INPP5A
VIM	INPP5A
XK	INPP5A
FOXC1	INPP5A
NCAPH2	GPKOW
CLPTM1L	GPKOW
CFLAR	GRIPAP1
CASP10	ATP11A
MCUB	ATP11A
THSD7A	ATP11A
MAP3K14	ATP11A
BAIAP2L1	ATP11A
PHLDB1	ATP11A
PRKCH	ATP11A
ARHGAP31	ATP11A
MFAP3	ATP11A
ARAP2	ATP11A
PARP12	ATP11A
CDK17	ATP11A
FAR2	ATP11A
HDAC4	POLR1A
DPM1	LAPTM4A
PLXND1	TTC7A
IFFO1	TTC7A
XYLT2	TTC7A
AGPAT4	TTC7A
LARS2	SRBD1
PTCD2	SRBD1
ZRANB1	KIF2A
KMT2C	KIF2A
WNK1	KIF2A
ARHGAP33	RASGRP2
SLC45A4	RASGRP2
PLEKHH3	RASGRP2
KDM7A	PSME4
FAM214A	PSME4
PHKA1	PSME4
SPATA7	IFT80
MAD1L1	SIRT2
HEBP1	SIRT2
CAPN1	SIRT2
TMEM161A	SIRT2
GABARAPL2	ERLEC1
MPC1	ERLEC1
CC2D2A	PYGM
ICA1	ADGRF5
MEOX1	ADGRF5
CD79B	ADGRF5
SCN4A	ADGRF5
CCDC88C	ADGRF5
TLL1	ADGRF5
DSG2	ADGRF5
TMCC3	ADGRF5
LZTS1	ADGRF5
YTHDC2	NUCKS1
TTC27	VPS35
STAU2	VPS35
ICA1	KCNAB2
CASP10	KCNAB2
WDR54	KCNAB2
TRAF3IP3	KCNAB2
TACC3	KCNAB2
CD74	KCNAB2
TYMP	KCNAB2
TNFRSF1B	KCNAB2
ARHGAP31	KCNAB2
ARAP2	KCNAB2
KCNQ1	KCNAB2
PARP12	KCNAB2
LPAR2	KCNAB2
FAR2	KCNAB2
DGKA	KCNAB2
ATP11A	KCNAB2
POU2F2	CLEC2D
NFE2L3	CLEC2D
LIMA1	CLEC2D
CASP8	CLEC2D
MDH1	FUNDC1
METTL24	MAOB
NEO1	MAOB
CDK17	RORA
LAMA3	TGFBR3
STAU2	NEDD4
ACSL4	MAPK6
CTPS2	GNB5
GGCT	RAB27A
HIVEP2	RAB27A
ABCF2	RAB27A
NOP16	RAB27A
RFC2	RAB27A
BTBD7	LRP6
RBM6	ELP1
PGM3	NUCB2
RAI14	NUCB2
RCN1	NUCB2
ALDH18A1	NUCB2
EML1	NUCB2
PKM	NUCB2
ST7	PFN2
FHL1	PFN2
VIM	PFN2
LTBP1	PFN2
FOXC1	PFN2
LIMCH1	PFN2
INPP5A	PFN2
MTMR11	PTPN3
FOXC1	PTPN3
LIMCH1	PTPN3
CNTLN	TMEM260
ANGEL1	SMG6
AASS	CLTCL1
SARM1	DGCR2
DVL2	DGCR2
EPN1	RNF126
ABHD5	WIPI1
IFNGR1	WIPI1
PLPP1	WIPI1
LAS1L	GBA2
EXTL3	NDST1
VCL	NDST1
ATP2B4	NDST1
POLA2	AP3M2
RCN1	AP3M2
HEXB	AP3M2
IPO5	PABPC1
PHF7	TESK2
JADE2	TESK2
UNKL	TESK2
GUCY1B1	TESK2
HEBP1	CFAP20
GABARAPL2	CFAP20
SIRT2	CFAP20
ST7	PTPN21
ATP9A	PTPN21
SLC25A39	EIF2B3
GLRX2	EIF2B3
KIAA0100	TCOF1
AIFM2	TCOF1
CASP10	OSBPL3
MCUB	OSBPL3
WDR54	OSBPL3
CYB561	OSBPL3
STAB1	OSBPL3
CD4	OSBPL3
BTK	OSBPL3
ALOX5	OSBPL3
WAS	OSBPL3
CD74	OSBPL3
TYMP	OSBPL3
PRKCH	OSBPL3
TNFRSF1B	OSBPL3
ARHGAP31	OSBPL3
PARP12	OSBPL3
CD84	OSBPL3
KCNAB2	OSBPL3
ZC3H11A	MAP4K4
ZNF195	MGAT4A
IFNGR1	MGAT4A
SOAT1	MGAT4A
MAP4K4	MGAT4A
ARF5	RPL31
PSMB1	RPL31
UQCRC1	WDR1
FBXO42	ARHGAP10
TGFBR3	RPS6KA2
MTMR11	VASH1
RASGRP2	VASH1
NDST1	VASH1
TRAF3IP2	LMCD1
ZMYND11	SEL1L
AKAP11	SEL1L
VRK2	SEL1L
PIGQ	ATP6AP1
MAN2B2	ATP6AP1
PLEKHH3	TCF3
RASGRP2	TCF3
MVP	TRIB2
DGKA	TRIB2
LYPLA2	DAZAP1
TFE3	DAZAP1
MAD1L1	MBD3
POLD1	MBD3
STOML1	MBD3
PPP2R5B	MBD3
TMEM161A	FAM50A
MSL3	RDH11
RCN1	RDH11
SEC61A1	RDH11
CYB561	ADGRL1
ATP11A	ADGRL1
ITGA3	ACTN1
ALDH18A1	ACTN1
LIMCH1	ACTN1
DIP2B	ZFYVE26
CDKL5	RPS6KA6
XK	RPS6KA6
ROCK1	RPS6KA6
INPP5A	RPS6KA6
TSPAN9	EPN2
FUZ	PTPN18
GRN	PTPN18
PIGV	PTPN18
ST7	LIMS2
PDK2	LIMS2
VIM	LIMS2
ROGDI	LIMS2
MAOB	LIMS2
WDR1	LIMS2
ARHGAP33	SPEG
RHBDF1	SPEG
MTMR11	SPEG
CACNB1	SPEG
RASGRP2	SPEG
TSPAN6	LNX1
PRKCH	LNX1
ARHGAP31	LNX1
FAR2	LNX1
ME1	ALDH3A2
BTBD7	AFF4
MON2	AFF4
TBPL1	UBE2D1
CSDE1	MPP5
BTBD7	MPP5
MAP4K3	MPP5
ZMYND11	MPP5
ZFR	MPP5
NCKAP1	MPP5
SLK	MPP5
ZBTB11	MPP5
SEL1L	MPP5
CC2D2A	RHOBTB1
NCDN	P4HA2
AGPAT4	P4HA2
RAI14	P4HA2
ALDH18A1	P4HA2
ITGAL	FCGR2B
TRAF3IP3	FCGR2B
CD74	FCGR2B
DEF6	FCGR2B
OGFR	ACADVL
WDR54	STK10
TMEM132A	STK10
BAIAP2L1	STK10
CYB561	STK10
FYN	STK10
MVP	STK10
TACC3	STK10
TYMP	STK10
PRKCH	STK10
ARHGAP31	STK10
HOMER3	STK10
PARP12	STK10
FAR2	STK10
TLE2	STK10
TNFRSF1A	STK10
HYAL2	STK10
ATP11A	STK10
OSBPL3	STK10
MAP4K3	FBXW11
KCNAB2	ACAP1
RBM6	CRMP1
XYLT2	CRMP1
CUL7	CRMP1
CC2D2A	CRMP1
TRAF1	CRMP1
CROCC	CRMP1
ATP2B4	CRMP1
ELP1	CRMP1
RHOBTB1	CRMP1
TSPOAP1	EVC
NEO1	EVC
TAF11	DERL2
ALDH18A1	PVR
ACTN1	PVR
HEBP1	XRCC1
CAPN1	XRCC1
THAP3	XRCC1
ACAA1	XRCC1
CASP10	SCARB1
PRKCH	SCARB1
EPN1	SELENOO
ACADVL	SELENOO
REV3L	ALPK1
RRP12	ALPK1
HDAC7	ALPK1
TRIB2	ALPK1
ARHGAP44	LLGL2
CROCC	LLGL2
REV3L	PDE8A
PGM3	PDE8A
SLC4A7	PDE8A
ALPK1	PDE8A
PAF1	SDHA
RANBP3	SDHA
STAG3	GSDMB
CLEC2D	GSDMB
CRMP1	GSDMB
CRAMP1	KDM5A
PIK3C2A	KDM5A
PTPN21	PPP2R3A
ZFR	FERMT2
TGFBR3	IGF2BP2
ALAS1	NSF
ABCF2	NSF
RCN1	NSF
INTS13	NSF
NFIX	GLI2
CC2D2A	GLI2
NEO1	GLI2
VASH1	GLI2
EVC	GLI2
BTBD7	CLASP1
SLC9A3R2	MRPS34
NTHL1	MRPS34
MTMR11	NOTCH3
RASGRP2	NOTCH3
SPEG	NOTCH3
GGCT	TEAD2
PHF23	TEAD2
YIPF1	TEAD2
SLC38A5	CA12
PLXND1	MGLL
NFIX	MGLL
CC2D2A	MGLL
EML1	MGLL
PFKP	MGLL
ITGA3	NTN4
FOXC1	NTN4
LIMCH1	NTN4
SIRT2	BCS1L
WWC3	ZNF532
TMEM176A	SCARF1
ICA1	SCARF1
MCUB	SCARF1
MEOX1	SCARF1
WDR54	SCARF1
ITGAL	SCARF1
TMEM132A	SCARF1
BAIAP2L1	SCARF1
CD79B	SCARF1
CYB561	SCARF1
SEMA3G	SCARF1
STAB1	SCARF1
CCDC88C	SCARF1
CD74	SCARF1
NR1H3	SCARF1
ARHGAP31	SCARF1
TLL1	SCARF1
ARAP2	SCARF1
ANO2	SCARF1
TMCC3	SCARF1
PARP12	SCARF1
LZTS1	SCARF1
FAR2	SCARF1
TLE2	SCARF1
KIF26A	SCARF1
HYAL2	SCARF1
ATP11A	SCARF1
KCNAB2	SCARF1
OSBPL3	SCARF1
STK10	SCARF1
SCARB1	SCARF1
UBA6	LMAN1
RRM2B	LMAN1
FUCA2	HACD3
AP3M2	HACD3
CLCN6	ZZEF1
TRIO	ZZEF1
ERCC1	ENO1
MVP	ENO1
BCAR1	ENO1
PVR	ENO1
BAD	MYDGF
ERCC1	MYDGF
RPL26L1	MYDGF
HOMER3	MYDGF
WDR18	MYDGF
PKM	MYDGF
MRPS34	MYDGF
PLXND1	ANO8
ZNF207	TUBE1
OFD1	TUBE1
ATXN3	TUBE1
EED	TUBE1
ARHGAP33	ARHGEF10L
RHBDF1	ARHGEF10L
NFIX	ARHGEF10L
MTMR11	ARHGEF10L
CACNB1	ARHGEF10L
PLEKHH3	ARHGEF10L
INPP5A	ARHGEF10L
RASGRP2	ARHGEF10L
PTPN3	ARHGEF10L
VASH1	ARHGEF10L
TCF3	ARHGEF10L
ACTN1	ARHGEF10L
LIMS2	ARHGEF10L
NOTCH3	ARHGEF10L
HPF1	SRI
NDUFB4	SRI
LARS2	EIF4G3
NSF	EIF4G3
FLT4	SEMA3A
SYPL1	ACAT1
VAMP3	ACAT1
CASP10	GRAMD4
PLXND1	GRAMD4
MCUB	GRAMD4
WDR54	GRAMD4
TMEM132A	GRAMD4
CYB561	GRAMD4
TACC3	GRAMD4
CCDC88C	GRAMD4
PRKCH	GRAMD4
TNFRSF1B	GRAMD4
ARHGAP31	GRAMD4
PARP12	GRAMD4
FAR2	GRAMD4
DGKA	GRAMD4
TLE2	GRAMD4
PDE4A	GRAMD4
ATP11A	GRAMD4
KCNAB2	GRAMD4
OSBPL3	GRAMD4
ADGRL1	GRAMD4
STK10	GRAMD4
SCARF1	GRAMD4
ICA1	CELSR1
CASP10	CELSR1
CYB561	CELSR1
PRKCH	CELSR1
ARHGAP31	CELSR1
FLT4	CELSR1
FAR2	CELSR1
TLE2	CELSR1
TIE1	CELSR1
SCARF1	CELSR1
GRAMD4	CELSR1
PIK3C2A	ZNF638
NUP160	ZNF638
RC3H2	ZNF638
PMS1	SLC25A40
ST7	RASAL2
CDKL5	RASAL2
VCL	RASAL2
PPP1R12A	RASAL2
MYLK	RASAL2
ROCK1	RASAL2
PTPN21	RASAL2
PLXND1	VPS9D1
SPATA20	VPS9D1
IFFO1	VPS9D1
XYLT2	VPS9D1
GRN	VPS9D1
PARP3	VPS9D1
PARP12	VPS9D1
CTSA	VPS9D1
STOML1	VPS9D1
MBTD1	ZNF37A
BOD1L1	ZNF37A
ZNF280C	ZNF37A
KDM5A	ZNF37A
VAMP3	SLC25A3
GINM1	SLC25A3
PHF20	FNDC3B
CDKL5	FRYL
FBXO42	FRYL
FAM214A	FRYL
CASP10	FSCN1
WDR54	FSCN1
TMEM132A	FSCN1
CYB561	FSCN1
IL32	FSCN1
CD4	FSCN1
CCDC88C	FSCN1
CD74	FSCN1
TYMP	FSCN1
CYBA	FSCN1
LZTS1	FSCN1
IFI35	FSCN1
OSBPL3	FSCN1
SCARF1	FSCN1
GRAMD4	FSCN1
ITGA3	ACTB
TBXA2R	ACTB
LIMS2	ACTB
