A	B
FGR	CFH
NFYA	ANKIB1
FGR	CASP10
SEMA3F	FKBP4
KLHL13	CAMKK1
ICA1	CAMKK1
SLC25A13	LAMP2
SOX8	TMEM98
LAMP2	TMEM98
CAMKK1	CACNG3
CACNG3	TAC1
CAMKK1	DLX6
CACNG3	DLX6
TAC1	DLX6
HECW1	MAP3K9
HECW1	ARHGAP44
MAP3K9	ARHGAP44
LAMP2	ADIPOR2
ZMYND10	DNAH9
BAD	TRAPPC6A
ZMYND10	BAIAP3
TMEM176A	TEAD3
LAMP2	MYLIP
ADIPOR2	MYLIP
HECW1	CDKL5
KLHL13	CDKL5
CAMKK1	CAMK1G
CACNG3	CAMK1G
DLX6	CAMK1G
TTC22	CAMK1G
SYN1	CAMK1G
ZMYND10	DLEC1
DNAH9	DLEC1
ADIPOR2	SYPL1
NFYA	SPAG9
ANKIB1	SPAG9
ARHGAP33	CELSR3
MAP3K9	CELSR3
CACNA2D2	CELSR3
SYN1	CELSR3
TMEM176A	MGST1
IFRD1	CRY1
PLXND1	NFIX
TEAD3	ST3GAL1
CELSR3	PKD1
TAC1	RHOBTB2
CFTR	MASP2
LAMP2	CD9
ADIPOR2	CD9
MYLIP	CD9
SYPL1	CD9
NFIX	HHATL
ITGAL	STAB1
TSPAN6	LRRC23
ZMYND10	LRRC23
DNAH9	LRRC23
LAP3	ABHD5
PAX6	ANOS1
SYN1	DPF1
MAPK8IP2	DPF1
CAMKK1	SYT7
CACNG3	SYT7
DLX6	SYT7
SYN1	SYT7
CAMK1G	SYT7
DPF1	SYT7
PAX6	PIK3C2A
ANOS1	PIK3C2A
TNFRSF12A	PLAUR
ITGAL	TYROBP
TTC22	TMEM159
UPP2	TMEM159
TENM1	GABRA3
SLC25A13	BRCA1
LAMP2	BRCA1
ADIPOR2	BRCA1
SYPL1	BRCA1
ADIPOR2	CD22
MYLIP	CD22
CD9	CD22
ANLN	CD22
ADIPOR2	SEMA3B
CD9	SEMA3B
ANLN	SEMA3B
CD22	SEMA3B
LAP3	ELOVL5
SYPL1	ELOVL5
ABHD5	ELOVL5
ITGAL	ALOX5
LAMP2	CLDN11
TMEM98	CLDN11
ADIPOR2	CLDN11
MYLIP	CLDN11
CD9	CLDN11
ANLN	CLDN11
CD22	CLDN11
SEMA3B	CLDN11
LAP3	MVP
PLXND1	MVP
TEAD3	MVP
TNFRSF12A	GPRC5A
CACNG3	CCDC88C
PAX6	CHDH
TSPAN6	IL20RA
ANLN	CLCA4
CD22	CLCA4
CLDN11	CLCA4
PLAUR	SLC11A1
WAS	SLC11A1
TEAD3	WWTR1
TMEM132A	ATP1A2
PAX6	ATP1A2
ANOS1	ATP1A2
PIK3C2A	ATP1A2
CHDH	ATP1A2
SLC25A13	PHLDB1
LAMP2	PHLDB1
ADIPOR2	PHLDB1
MYLIP	PHLDB1
CD9	PHLDB1
BRCA1	PHLDB1
CD22	PHLDB1
SEMA3B	PHLDB1
CLDN11	PHLDB1
STAB1	CD74
ALOX5	CD74
CAMKK1	NCDN
CACNG3	NCDN
DLX6	NCDN
SYN1	NCDN
CAMK1G	NCDN
DPF1	NCDN
SYT7	NCDN
CCDC88C	NCDN
SEMA3G	ADGRA2
SLC38A5	ADGRA2
TEAD3	SERPINB1
MVP	SERPINB1
SLC11A1	SERPINB1
WWTR1	SERPINB1
HECW1	NRXN3
MAP3K9	NRXN3
ARHGAP44	NRXN3
SLC7A14	NRXN3
SLC7A14	GABRA1
SYT13	GABRA1
NRXN3	GABRA1
SYPL1	DERA
ABHD5	DERA
TEAD3	EHD2
ST3GAL1	EHD2
PIK3C2A	HSD17B6
CHDH	HSD17B6
ATP1A2	HSD17B6
STAB1	TYMP
TYROBP	TYMP
SLC11A1	TYMP
CD74	TYMP
SERPINB1	TYMP
CAMKK1	TOMM34
DPF1	TOMM34
SYT7	TOMM34
NCDN	TOMM34
TMEM176A	VIM
MGST1	VIM
WWTR1	VIM
WWTR1	CD44
TYMP	CD44
ZMYND10	KCNG1
BAIAP3	KCNG1
SYPL1	IFNGR1
LAMP2	VRK2
TMEM98	VRK2
ADIPOR2	VRK2
SYPL1	VRK2
CD9	VRK2
ANLN	VRK2
SEMA3B	VRK2
CLDN11	VRK2
PHLDB1	VRK2
MVP	TNFRSF1B
SLC11A1	TNFRSF1B
SERPINB1	TNFRSF1B
MLXIPL	POU2F2
CACNA1G	ANK1
IFNGR1	IKZF2
ST3GAL1	ARHGAP31
ABHD5	ARHGAP31
KLHL13	LRRC7
ICA1	LRRC7
PRKAR2B	LRRC7
CDKL5	LRRC7
SYT7	LRRC7
NRXN3	LRRC7
NIPAL3	FUT8
SLC25A13	FUT8
LAMP2	FUT8
BRCA1	FUT8
PHLDB1	FUT8
VRK2	GAB2
ZMYND10	EFCAB1
TMEM98	DAPK2
ADIPOR2	DAPK2
SEMA3B	DAPK2
CLDN11	DAPK2
PHLDB1	DAPK2
VRK2	DAPK2
