A	B
FUCA2	MAD1L1
BAD	MAD1L1
LASP1	PLXND1
BAD	ST7
SCYL3	CDC27
SARM1	DVL2
RECQL	SKAP2
HCCS	SKAP2
CFH	MCUB
TMEM176A	MCUB
CASP10	MCUB
TFPI	MCUB
MAD1L1	POLR2J
NDUFAF7	DHX33
AK2	DHX33
LAP3	RPAP3
DPM1	CIAPIN1
KDM1A	CIAPIN1
ALS2	MSL3
NDUFAF7	MSL3
ALS2	GCFC2
ALS2	KMT2E
KRIT1	FBXL3
CDC27	LAMP2
SKAP2	GDE1
REX1BD	OSBPL7
DHX33	FARP2
MSL3	FARP2
RPAP3	GGCT
GDE1	COX10
CREBBP	PAF1
SKAP2	VPS41
COX10	PNPLA4
CIAPIN1	ADIPOR2
MAD1L1	CCDC124
HCCS	KIAA0100
CREBBP	KIAA0100
ALS2	ST7L
AK2	ST7L
ARHGAP44	CACNA2D2
STPG1	TSR3
MAD1L1	TSR3
ST7L	CRAMP1
UPF1	DNAJC11
FARP2	DNAJC11
FBXL3	SYPL1
RALA	SYPL1
FARP2	SPAG9
ADIPOR2	SS18L2
BAD	MPND
REX1BD	MPND
PIGQ	MED24
FBXL3	HEATR5B
VPS41	HEATR5B
KMT2E	SEC62
FBXL3	SEC62
ARF5	RPS20
RECQL	CSDE1
SKAP2	CSDE1
KIAA0100	CSDE1
SKAP2	UBE3C
MYCBP2	UBE3C
CSDE1	UBE3C
ENPP4	REV3L
CRAMP1	POMT2
ANKIB1	VTA1
HCCS	BAZ1B
UPF1	BAZ1B
MYCBP2	BAZ1B
GTF2IRD1	RANBP9
SCYL3	SPRTN
KIAA0100	EEF1AKNMT
NDUFAB1	DYRK4
POLR2J	DYRK4
NFYA	ZNF207
ALS2	ZNF207
NDUFAF7	ZNF207
AK2	ZNF207
PNPLA4	UQCRC1
CREBBP	NCAPD2
MYCBP2	NCAPD2
KIAA0100	NCAPD2
HEATR5B	NCAPD2
TSR3	LRRC23
ENPP4	SCMH1
GDE1	SCMH1
VTA1	ELOA
BAZ1B	ELOA
SS18L2	LYPLA2
MED24	LYPLA2
ALS2	CLCN6
NDUFAF7	CLCN6
MED24	CLCN6
POMT2	CLCN6
LASP1	TSPAN9
FYN	TSPAN9
ELOA	BTBD7
LYPLA2	APBA3
GTF2IRD1	ABHD5
RANBP9	ABHD5
CDK11A	AKAP8L
CDC27	UTP18
RHBDD2	TTC19
CRAMP1	TTC19
MED24	TTC19
LYPLA2	TTC19
TTC19	PTBP1
KDM7A	PIK3C2A
SCMH1	WIZ
RECQL	RABGAP1
HCCS	RABGAP1
SKAP2	RABGAP1
GDE1	RABGAP1
VPS41	CEP68
HEATR5B	CEP68
BAD	ERCC1
MAD1L1	ERCC1
RHBDD2	ERCC1
TTC19	ERCC1
TRAF3IP3	CD22
BTK	CD22
M6PR	MBTPS2
SKAP2	MBTPS2
LYPLA2	PRICKLE3
RHOBTB2	EXTL3
REV3L	ELOVL5
AP2B1	CALCOCO1
SLC25A13	MAP4K5
MSL3	MAP4K5
GCFC2	MAP4K5
PHTF2	MAP4K5
ST7L	MAP4K5
CRAMP1	MAP4K5
TTC19	MAP4K5
ELOA	PSMC4
UBR7	PSMC4
ARSD	MAN2B2
IDS	MAN2B2
LRRC23	MAN2B2
MCUB	CLDN11
FYN	CLDN11
TTC19	SLC25A39
ERCC1	SLC25A39
RPAP3	MVP
GGCT	MVP
SEC62	NUB1
BAZ1B	NUB1
BTBD7	NUB1
UBR7	NUB1
MCUB	PGM3
TTC19	PGM3
PTBP1	PGM3
RALA	POLR3B
NFYA	ANGEL1
POMT2	ANGEL1
CLCN6	ANGEL1
FAM214B	DNASE1L1
AP2B1	POLA2
MVP	ZC3H3
RALA	CAPN1
DYRK4	COX15
STARD3NL	YAF2
ENPP4	ZMYND11
RECQL	ZMYND11
HCCS	ZMYND11
SKAP2	ZMYND11
GDE1	ZMYND11
RBM6	MATR3
AKAP8L	MATR3
SLC13A2	CLCA1
FUCA2	GLT8D1
ALS2	GLT8D1
ARF5	GLT8D1
RHBDD2	GLT8D1
ST7L	GLT8D1
FYN	GLT8D1
TTC19	GLT8D1
NFYA	ATP2C1
UPF1	ATP2C1
HCCS	RALBP1
SKAP2	RALBP1
CREBBP	RALBP1
MYCBP2	RALBP1
KIAA0100	RALBP1
NCAPD2	RALBP1
AKAP8L	RUFY3
TTC19	RUFY3
PGM3	RUFY3
ENPP4	WWTR1
AP2B1	WWTR1
SCMH1	WWTR1
ZMYND11	WWTR1
VPS41	AGPS
AGPS	TTC27
RHBDF1	PHLDB1
SEMA3B	PHLDB1
AP2B1	PRDM11
SCMH1	PRDM11
M6PR	ZRANB1
RECQL	ZRANB1
MYCBP2	ZRANB1
AP2B1	ZRANB1
KIAA0100	ZRANB1
NCAPD2	ZRANB1
TSR3	NCDN
TBXA2R	ADGRA2
STPG1	ZFP64
NIPAL3	ZFP64
TSR3	ZFP64
NFIX	ZFP64
POLR3B	ZFP64
PAFAH1B1	MNAT1
SEC62	MNAT1
UBR7	MNAT1
RNF14	MNAT1
MSL3	MRE11
MAP4K5	MRE11
GGCT	SERPINB1
TTC27	SPAST
SCYL3	AQR
VPS41	RTF2
GDE1	RNF10
DVL2	ZNF839
ALS2	ZDHHC6
ARF5	ZDHHC6
GCFC2	ZDHHC6
MAP4K5	ZDHHC6
SKAP2	NDUFS1
IBTK	NDUFS1
UFL1	NDUFS1
ZMYND11	NDUFS1
RECQL	RB1CC1
RABGAP1	RB1CC1
RALBP1	RB1CC1
WWTR1	RB1CC1
RNF10	RB1CC1
CDC27	ERP44
ZNF207	ERP44
SKAP2	AKAP11
FKBP4	GLRX2
RALA	GLRX2
CCDC124	GLRX2
ELOVL5	STRAP
UBR7	STRAP
ALAS1	STRAP
RPAP3	GCLM
GGCT	GCLM
SERPINB1	GCLM
CDC27	UBR2
SPAG9	UBR2
SEC62	UBR2
HEBP1	EHD2
SLC25A5	RRAGD
M6PR	PHF20
RECQL	PHF20
HCCS	PHF20
MYCBP2	PHF20
KIAA0100	PHF20
UBE3C	PHF20
MBTPS2	PHF20
UBR7	PHF20
RNF14	PHF20
RNF10	PHF20
STRAP	PHF20
BAD	NCAPH2
CCDC124	NCAPH2
RHBDD2	TOMM34
SS18L2	TOMM34
MED24	TOMM34
MVP	TOMM34
ERP44	TOMM34
UBE3C	SEC63
NUB1	SEC63
M6PR	KPNA6
POLDIP2	KPNA6
CSDE1	KPNA6
UBR7	KPNA6
PSMC4	KPNA6
NR1H3	VIM
REX1BD	RNASET2
HCCS	MIPEP
GDE1	MIPEP
PNPLA4	MIPEP
NADK	IFNGR1
SS18L2	IFNGR1
M6PR	VRK2
RECQL	VRK2
MBTPS2	VRK2
ZRANB1	VRK2
KRIT1	VEZT
MBTPS2	VEZT
UBR7	VEZT
SEC63	VEZT
KPNA6	VEZT
ARF5	BRD9
PIGQ	BRD9
DNASE1L1	BRD9
B4GALT7	BRD9
SCYL3	SNX1
M6PR	SNX1
UBE3C	SNX1
UBR7	SNX1
PSMC4	SNX1
STRAP	SNX1
VEZT	SNX1
YAF2	TBPL1
SCYL3	BCLAF1
NDUFAF7	BCLAF1
MSL3	BCLAF1
FARP2	BCLAF1
IFNGR1	BCLAF1
DPM1	SLC39A9
UBE3C	RABEP1
ELOA	RABEP1
SCYL3	NUP160
FARP2	NUP160
SPAG9	NUP160
ATP2C1	NUP160
ERP44	NUP160
SLC39A9	NUP160
AK2	BAK1
MED24	BAK1
PTBP1	BAK1
TOMM34	BAK1
B4GALT7	BAK1
ALDH3B1	GRN
ENPP4	FAM13B
RECQL	FAM13B
SKAP2	FAM13B
GDE1	FAM13B
CSDE1	FAM13B
MBTPS2	FAM13B
PRDM11	FAM13B
ZRANB1	FAM13B
NDUFS1	FAM13B
RB1CC1	FAM13B
SLC25A5	SARS1
ELOVL5	SARS1
EXTL3	RANBP3
CYB561	EIPR1
NCDN	PNPLA6
UFL1	IFT88
SLC25A13	ZCCHC8
ZNF195	ZCCHC8
CLCN6	ZCCHC8
TTC19	ZCCHC8
MAP4K5	ZCCHC8
M6PR	ABCF2
ELOVL5	ABCF2
ALAS1	ABCF2
PPP5C	CHPF2
FUCA2	FUT8
LASP1	FUT8
ARHGAP31	FUT8
TTC19	UBA6
AGK	ATP6V0A1
CRAMP1	ATP6V0A1
ZNF207	ATP6V0A1
TTC19	ATP6V0A1
ERCC1	ATP6V0A1
GLT8D1	ATP6V0A1
RUFY3	ATP6V0A1
ZCCHC8	ATP6V0A1
RECQL	PIAS1
SKAP2	PIAS1
MBTPS2	PIAS1
ZMYND11	PIAS1
PRDM11	PIAS1
ZRANB1	PIAS1
NDUFS1	PIAS1
MAP4K5	RNF19A
YAF2	GABARAPL2
GLT8D1	GABARAPL2
CSDE1	VCL
RABGAP1	VCL
ZMYND11	VCL
PRDM11	VCL
NDUFS1	VCL
FAM13B	VCL
STRAP	NSMAF
IBTK	ADSS2
NDUFS1	ADSS2
MYCBP2	RFC1
PAF1	RFC1
BTBD7	RFC1
KPNA6	RFC1
LAMP2	TBC1D23
IFNGR1	TBC1D23
NUP160	TBC1D23
PSMC4	CUL3
RNF10	CUL3
PHF20	CUL3
VRK2	CUL3
ATP2C1	ZZZ3
AGK	TUBG2
SNX11	RPL26L1
RNH1	RPL26L1
SLC39A9	RPL26L1
DPM1	NSUN2
SCYL3	NSUN2
SPRTN	NSUN2
ZDHHC6	NSUN2
MARK4	FBXO42
GGCT	METTL1
MVP	METTL1
BAK1	METTL1
TTC19	PI4K2B
KIAA0100	BOD1L1
MBTPS2	BOD1L1
VRK2	BOD1L1
SEC62	MAT2B
BTBD7	MAT2B
VEZT	MAT2B
REV3L	TRIO
NFYA	CLEC16A
ALS2	CLEC16A
DHX33	CLEC16A
MSL3	CLEC16A
FARP2	CLEC16A
ST7L	CLEC16A
ELOA	MTREX
BTBD7	MTREX
UBR7	MTREX
MNAT1	MTREX
ERP44	MTREX
SLC39A9	MTREX
RABEP1	MTREX
NFYA	ZFYVE16
MSL3	ZFYVE16
IDS	ZFYVE16
ST7	RIPOR1
DVL2	RIPOR1
IDS	RIPOR1
CLCN6	RIPOR1
ARHGAP31	RIPOR1
ADSS2	STAU2
RHBDD2	SLC66A1
MED24	SLC66A1
TTC19	SLC66A1
ERCC1	SLC66A1
GLT8D1	SLC66A1
BRD9	SLC66A1
PIGQ	CTNS
MED24	CTNS
CLCN6	CTNS
APBA3	CTNS
PNPLA6	CTNS
ALAS1	PHF23
RNF216	INPP4A
TRAF3IP3	RAB27B
CD22	RAB27B
KDM1A	PSMA4
SCYL3	LSG1
LAP3	LSG1
AK2	LSG1
COX15	PARP3
BAD	THAP3
RIPOR1	THAP3
SNX11	AIFM2
PPP5C	AIFM2
CRAMP1	SPATA7
PAFAH1B1	MED17
MYCBP2	RETSAT
CAPN1	RETSAT
GRN	RETSAT
LAP3	AP2S1
SS18L2	AP2S1
