A	B
LASP1	TFPI
LASP1	PLXND1
TFPI	MCUB
CASP10	OSBPL7
NDUFAB1	PNPLA4
BAD	TRAPPC6A
ASB4	TKTL1
CASP10	LUC7L
OSBPL7	LUC7L
BAIAP2L1	LUC7L
RBM6	CDK11A
LUC7L	CDK11A
LASP1	CYTH3
SOX8	IL32
PNPLA4	UQCRC1
SPPL2B	IFFO1
RHBDF1	IFFO1
CYTH3	FYN
SOX8	MRC2
PIGQ	APBA3
ADAM22	ANOS1
MCUB	PTBP1
SEMA3F	PLAUR
MCUB	PLAUR
IL32	PLAUR
CD9	DCN
HIVEP2	ELOVL5
UTP18	MAP4K5
UTP18	PGM3
CASP10	MAMLD1
PDK2	MDH1
LUC7L	MTMR11
PLXND1	CCDC88C
OSBPL7	CCDC88C
RBM6	MATR3
TFPI	WWTR1
ELOVL5	WWTR1
MAP4K5	WWTR1
ASB4	ATP1A2
LUC7L	VSIG2
ALOX5	MARCO
SLC11A1	MARCO
ASB4	SYT13
MCUB	HGF
ARHGAP33	ADGRA2
OSBPL7	ADGRA2
TMEM98	ADGRA2
CCDC88C	ADGRA2
SPPL2B	OSBPL5
RHBDF1	OSBPL5
NADK	OSBPL5
PTBP1	OSBPL5
PDK2	NDUFS1
PDK2	ALAS1
MDH1	ALAS1
TYROBP	DEF6
LASP1	EHD2
RBM6	CCDC28A
OSBPL7	CCDC28A
LUC7L	CCDC28A
CLK1	CCDC28A
NDUFAB1	RRAGD
COX10	RRAGD
PNPLA4	RRAGD
UQCRC1	RRAGD
MDH1	RRAGD
NDUFS1	RRAGD
OSBPL7	NR1H3
MCUB	TYMP
IL32	TYMP
LASP1	VIM
TMEM98	VIM
LUC7L	FAS
CD9	FAS
MAMLD1	FAS
HGF	FAS
VIM	FAS
ARHGAP33	RNASET2
CCDC28A	RNASET2
NR1H3	RNASET2
MCUB	CD44
PLAUR	CD44
SLC38A5	CD44
HGF	CD44
VIM	CD44
LASP1	AGPAT4
CASP10	AGPAT4
PLXND1	AGPAT4
MCUB	AGPAT4
OSBPL7	AGPAT4
LUC7L	AGPAT4
MTMR11	AGPAT4
ADGRA2	AGPAT4
EHD2	AGPAT4
FAS	AGPAT4
RNASET2	AGPAT4
BAIAP3	BTN3A1
CCDC88C	BTN3A1
ADGRA2	BTN3A1
RRAGD	MIPEP
RHBDD2	B4GALT7
ZC3H3	B4GALT7
TMEM132A	TNFRSF1B
PTBP1	TNFRSF1B
TSPOAP1	ANK1
UTP18	UBA6
WWTR1	SLC4A7
SEMA3F	TMSB10
LASP1	TMSB10
TMEM132A	TMSB10
CD9	TMSB10
PTBP1	TMSB10
PLAUR	TMSB10
VIM	TMSB10
TNFRSF1B	TMSB10
PGM3	ADSS2
WWTR1	ADSS2
FAS	TIMP2
AGPAT4	TIMP2
ASB4	MYOM2
TKTL1	MYOM2
HHATL	MYOM2
SYT13	MYOM2
ABCB4	USP2
HHATL	USP2
SYT7	USP2
MYOM2	USP2
MKS1	TUBG2
TMEM132A	FLT4
IL32	FLT4
MAMLD1	FLT4
VSIG2	FLT4
MAP2K3	METTL1
TFPI	PI4K2B
MCUB	PI4K2B
PTBP1	PI4K2B
VIM	PI4K2B
PLAUR	VCAN
SLC38A5	VCAN
VIM	VCAN
CD44	VCAN
TFPI	RAI14
MCUB	RAI14
PLAUR	RAI14
SLC38A5	RAI14
HGF	RAI14
VIM	RAI14
FAS	RAI14
TMSB10	RAI14
PI4K2B	RAI14
VCAN	RAI14
SLC38A5	TNC
CD44	TNC
VCAN	TNC
WAS	CAPG
MCUB	LCP2
TMSB10	LCP2
RAI14	LCP2
FYN	CNTLN
FUT8	CNTLN
TMEM98	EPHA3
MRC2	EPHA3
NDUFS1	DSG2
CASP10	PREX2
MAMLD1	PREX2
FAS	PREX2
TIMP2	PREX2
DSG2	XK
TFPI	ARHGAP6
LUC7L	ARHGAP6
CD9	ARHGAP6
DCN	ARHGAP6
VIM	ARHGAP6
FAS	ARHGAP6
MDH1	USP28
NDUFS1	USP28
RRAGD	USP28
CASP10	KITLG
MAMLD1	KITLG
HGF	KITLG
FAS	KITLG
AGPAT4	KITLG
TIMP2	KITLG
EPHA3	KITLG
PREX2	KITLG
TSPOAP1	EPN3
ASB4	EPN3
HHATL	EPN3
ATP1A2	EPN3
SYT13	EPN3
ANK1	EPN3
MYOM2	EPN3
TFPI	RCN1
MCUB	RCN1
PTBP1	RCN1
MVP	RCN1
HGF	RCN1
VIM	RCN1
CD44	RCN1
PI4K2B	RCN1
VCAN	RCN1
DSG2	NEDD4L
LASP1	LIMA1
LUC7L	LIMA1
CYTH3	LIMA1
MAMLD1	LIMA1
ADGRA2	LIMA1
VIM	LIMA1
AGPAT4	LIMA1
PI4K2B	LIMA1
EPHA3	LIMA1
PREX2	LIMA1
ARHGAP6	LIMA1
KITLG	LIMA1
PLEKHO1	HOMER3
PLXND1	CYBA
REX1BD	CYBA
CC2D2A	NRIP2
FUZ	PHPT1
CD9	FOXC1
MCUB	RELT
HGF	RELT
CD44	RELT
RAI14	RELT
LCP2	RELT
HHATL	KCNH2
MYOM2	KCNH2
USP2	KCNH2
ZNF263	USP36
IFRD1	USP36
PTBP1	USP36
RELT	USP36
RAD52	TRAF1
RNASET2	TRAF1
TFPI	SOAT1
PTBP1	SOAT1
MAP4K5	SOAT1
MVP	SOAT1
WWTR1	SOAT1
UBA6	SOAT1
ADSS2	SOAT1
PI4K2B	SOAT1
PDK2	PKP2
MDH1	PKP2
NDUFS1	PKP2
XK	PKP2
USP28	PKP2
NEDD4L	PKP2
KCNH2	PKP2
PDK2	USP13
MDH1	USP13
NDUFS1	USP13
ALAS1	USP13
RRAGD	USP13
DSG2	USP13
XK	USP13
USP28	USP13
NEDD4L	USP13
PKP2	USP13
HHATL	CAMK2B
MYOM2	CAMK2B
USP2	CAMK2B
KCNH2	CAMK2B
XK	DGKG
PKP2	DGKG
SPPL2B	FLYWCH1
CAPG	TBXAS1
LIMA1	PARP12
PDK2	GATB
RRAGD	GATB
PLAUR	MXD1
FAS	MXD1
LCP2	MXD1
RELT	MXD1
PTBP1	CDK17
ELOVL5	CDK17
PI4K2B	CDK17
RCN1	CDK17
SOAT1	CDK17
PLAUR	SLC2A3
B4GALT7	CTDP1
RIPOR1	CTDP1
CDK11A	OGFR
NADK	OGFR
PTBP1	OGFR
OSBPL5	OGFR
TNFRSF1B	OGFR
CYBA	OGFR
RELT	GNA15
ABCB4	MPC1
PNPLA4	MPC1
RRAGD	MPC1
ALOX5	BCAT1
CAPG	BCAT1
NADK	HDAC7
PDK2	CS
RRAGD	CS
MIPEP	CS
USP28	CS
USP13	CS
HGF	VMP1
CD44	VMP1
RAI14	VMP1
USP36	VMP1
MXD1	VMP1
ZC3H3	POLD1
CTDP1	POLD1
SPPL2B	BICRA
RIPOR1	BICRA
B4GALT7	RPL18
FUZ	ADCK1
PHPT1	ADCK1
USP13	LIMCH1
TSPOAP1	TSPAN32
ANK1	TSPAN32
EPN3	TSPAN32
ADAM22	CDON
NRIP2	CDON
ABHD5	HIPK2
VCL	HIPK2
DCBLD2	HIPK2
GDE1	BTBD1
STAU2	BTBD1
SEMA3F	SBNO2
RPUSD1	HMG20B
PNPLA6	HMG20B
SLC66A1	HMG20B
POLD1	HMG20B
SKAP2	CALCRL
KITLG	CALCRL
ADCK1	ZNF76
TSPOAP1	NTHL1
TSPAN32	NTHL1
TFPI	DGKA
NADK	DGKA
PTBP1	DGKA
VIM	DGKA
PI4K2B	DGKA
RCN1	DGKA
SOAT1	DGKA
GPM6B	ERBB3
