A	B
KDM1A	CDC27
DPM1	HCCS
CFTR	PRSS22
ARHGAP33	SPPL2B
STPG1	WDR54
ZMYND10	WDR54
SCYL3	CROT
CFLAR	KMT2E
ST7	GDE1
SLC25A5	GDE1
CFTR	MAP3K9
CFLAR	KDM7A
ALDH3B1	TTC22
CFLAR	FARP2
KDM7A	FARP2
PHTF2	DBF4
SNX11	COX10
NIPAL3	ARHGAP44
ITGA3	ARHGAP44
CFTR	SCIN
ACSM3	SCIN
PDK2	ARSD
ALDH3B1	ARSD
TFPI	ADIPOR2
ZMYND10	PROM1
KDM1A	PAFAH1B1
ZMYND10	DNAH9
PROM1	DNAH9
SPPL2B	TRAPPC6A
CFTR	CACNA2D2
ACSM3	CACNA2D2
SCIN	CACNA2D2
ZMYND10	BAIAP3
TSPOAP1	BAIAP3
WDR54	BAIAP3
DNAH9	BAIAP3
BAD	PIGQ
TRAPPC6A	PIGQ
MAP3K14	TEAD3
MARK4	TEAD3
SNX11	DNAJC11
KDM7A	JARID2
ST7	CDKL5
ARHGAP44	CDKL5
UPF1	NADK
ZMYND10	DLEC1
WDR54	DLEC1
PROM1	DLEC1
DNAH9	DLEC1
BAIAP3	DLEC1
CFLAR	SPAG9
JARID2	SPAG9
ADIPOR2	AASS
CFTR	MGST1
CYP51A1	MGST1
SCIN	MGST1
MAP3K14	CRY1
IFRD1	CRY1
TEAD3	CRY1
PDK2	NFIX
TMEM98	NFIX
SPPL2B	PKD1
CFTR	RHOBTB2
SCIN	RHOBTB2
CACNA2D2	RHOBTB2
MGST1	RHOBTB2
PAFAH1B1	CSDE1
CROT	FAM76A
HEATR5B	FAM76A
SNX11	VTA1
COX10	VTA1
CFTR	MLXIPL
SCIN	MLXIPL
CACNA2D2	MLXIPL
MGST1	MLXIPL
RHOBTB2	MLXIPL
KDM1A	RANBP9
LAP3	ETV7
CDC27	ZNF207
SYPL1	STARD3NL
ENPP4	CD9
ZMYND10	GIPR
WDR54	GIPR
DNAH9	GIPR
BAIAP3	GIPR
DLEC1	GIPR
STPG1	FUZ
ARHGAP33	FUZ
WDR54	FUZ
PDK2	FUZ
ALDH3B1	FUZ
CYTH3	IDS
COPZ2	CD4
STPG1	LRRC23
ZMYND10	LRRC23
WDR54	LRRC23
DNAH9	LRRC23
BAIAP3	LRRC23
DLEC1	LRRC23
GIPR	LRRC23
KDM1A	SCMH1
CFLAR	FYN
PRKAR2B	FYN
RHBDF1	FYN
CRY1	HIVEP2
COPZ2	MRC2
CD4	MRC2
RHBDF1	TSPAN9
CCDC124	APBA3
NADK	APBA3
PKD1	APBA3
STPG1	MKS1
MARK4	AKAP8L
M6PR	UTP18
PAFAH1B1	TTC19
CCDC124	PTBP1
CFLAR	PIK3C2A
TFPI	PIK3C2A
KDM7A	PIK3C2A
FYN	PIK3C2A
RHBDD2	QPCTL
KMT2E	MAP4K3
IDS	MAP4K3
TSPAN9	TMEM159
CEP68	TMEM159
REXO5	BRCA1
ITGA3	SEMA3B
MAP3K14	SEMA3B
RHBDF1	SEMA3B
TEAD3	SEMA3B
CEACAM21	ALOX5
TSPAN9	CALCOCO1
TMEM159	CALCOCO1
SYPL1	UBR7
KDM7A	MAP4K5
WIZ	SLC25A39
SLC25A5	MVP
SCMH1	NUB1
CDC27	PGM3
DBF4	PGM3
ZNF207	PGM3
ELOVL5	PGM3
PNPLA4	POLR3B
MAP3K9	GPRC5A
ANOS1	GPRC5A
STAB1	TACC3
CFTR	ACPP
ACSM3	ACPP
SCIN	ACPP
CACNA2D2	ACPP
MGST1	ACPP
RHOBTB2	ACPP
FUCA2	MDH1
CLK1	MTMR11
TSPOAP1	CCDC88C
WDR54	CCDC88C
RANBP9	YAF2
SCIN	IL20RA
CACNA2D2	IL20RA
KMT2E	RUFY3
KDM7A	RUFY3
SPAG9	RUFY3
PIK3C2A	RUFY3
MAP4K3	RUFY3
KMT2E	WWTR1
FYN	WWTR1
FUCA2	AGPS
VPS41	AGPS
MDH1	AGPS
COX10	TTC27
VTA1	TTC27
POLR3B	TTC27
ITGA3	VSIG2
SEMA3B	VSIG2
TYROBP	MARCO
PROM1	CYP24A1
CREBBP	PRDM11
PDK2	PRDM11
CFLAR	ZRANB1
KDM7A	ZRANB1
FARP2	ZRANB1
REV3L	ZRANB1
FYN	ZRANB1
PIK3C2A	ZRANB1
MAP4K5	ZRANB1
WWTR1	ZRANB1
CCDC124	NCDN
SLC25A39	NCDN
CD4	ADGRA2
CRY1	SAMD4A
HIVEP2	SAMD4A
ALDH3B1	PLEKHB1
TTC22	PLEKHB1
SCIN	PLEKHB1
IL20RA	PLEKHB1
ELOVL5	SERPINB1
SCYL3	SPAST
CROT	SPAST
SPPL2B	OSBPL5
PKD1	OSBPL5
FMO3	FHL1
CYTH3	FHL1
ADAM22	FHL1
TSPAN9	FHL1
JARID2	SLC45A4
SCMH1	RNF10
PTBP1	RNF10
SARM1	ZNF839
PIGQ	RNH1
LYPLA2	RNH1
FUCA2	NDUFS1
CIAPIN1	NDUFS1
AQR	NDUFS1
KMT2E	RB1CC1
ELOVL5	ALAS1
ST7	DERA
AK2	STRAP
MARK4	PLEKHO1
PRICKLE3	PLEKHO1
ELOVL5	GCLM
CFLAR	UBR2
KDM7A	UBR2
CRAMP1	UBR2
YAF2	UBR2
MGST1	RRAGD
KDM7A	HSF2
DBF4	HSF2
AKAP8L	HSF2
MAP4K5	HSF2
RB1CC1	HSF2
FARP2	PHF20
PIK3C2A	PHF20
WWTR1	PHF20
CACNA2D2	HSD17B6
ANOS1	HSD17B6
PLEKHB1	HSD17B6
RNH1	NCAPH2
SPAG9	KPNA6
ZNF207	KPNA6
SCMH1	KPNA6
MAP4K5	KPNA6
IFRD1	FAS
HGF	FAS
TACC3	RNASET2
LAP3	CD44
ELOVL5	CD44
PGM3	CD44
BID	CD44
ALAS1	CD44
LUC7L	AGPAT4
TRAF3IP3	BTN3A1
PNPLA4	MIPEP
CFLAR	PRKCH
KMT2E	PRKCH
SPAG9	PRKCH
PIK3C2A	PRKCH
MAP4K5	PRKCH
RB1CC1	PRKCH
PHF20	PRKCH
TFPI	IFNGR1
PIK3C2A	IFNGR1
ELAC2	B4GALT7
TSR3	B4GALT7
CD6	SH2D2A
GCFC2	VEZT
SEC62	VEZT
KDM1A	BCLAF1
MAP4K3	BCLAF1
RNF14	SLC39A9
CD44	BAK1
CLK1	IKZF2
MARCO	GRN
VPS50	CENPQ
BRCA1	CENPQ
ZFP64	CENPQ
SLC25A5	SARS1
KDM7A	ARID4A
PHTF2	ARID4A
REV3L	ARID4A
CALCOCO1	ARID4A
ELAC2	EIPR1
MDH1	EIPR1
MIPEP	EIPR1
TFB1M	EIPR1
FAM214B	PNPLA6
ALOX5	PNPLA6
AGPAT4	PNPLA6
MNAT1	IFT88
PNPLA4	ALG1
PAFAH1B1	ZCCHC8
YAF2	ZCCHC8
SLC25A5	CHPF2
MVP	CHPF2
IFRD1	UBA6
JARID2	UBA6
CRY1	UBA6
HIVEP2	UBA6
HGF	UBA6
FAS	UBA6
IKZF2	UBA6
ZRANB1	GAB2
QPCTL	ATP6V0A1
RUFY3	ATP6V0A1
RANBP9	PIAS1
NUB1	PIAS1
BCLAF1	PIAS1
CRY1	SLC4A7
HIVEP2	SLC4A7
SAMD4A	SLC4A7
UBA6	SLC4A7
TEAD3	MAP2K3
MED24	MAP2K3
HIVEP2	MAP2K3
ELOVL5	MAP2K3
SERPINB1	MAP2K3
ZMYND10	EFCAB1
WDR54	EFCAB1
PROM1	EFCAB1
DNAH9	EFCAB1
BAIAP3	EFCAB1
DLEC1	EFCAB1
GIPR	EFCAB1
LRRC23	EFCAB1
VPS50	ASTE1
CROT	ASTE1
CFLAR	RNF19A
KDM7A	RNF19A
PHTF2	RNF19A
FARP2	RNF19A
ZNF207	RNF19A
MAP4K5	RNF19A
RUFY3	RNF19A
ZRANB1	RNF19A
RB1CC1	RNF19A
HSF2	RNF19A
PHF20	RNF19A
UBA6	RNF19A
VTA1	PEX3
AGPS	PEX3
SPAST	PEX3
AQR	PEX3
IDS	GABARAPL2
NUB1	GABARAPL2
YAF2	GABARAPL2
ST7	SH3YL1
CIAPIN1	FAM136A
ELAC2	FAM136A
VSIG2	DAPK2
UTP18	NSMAF
IBTK	ADSS2
SEC63	ADSS2
ADAM22	TIMP2
CEP68	TIMP2
TMEM159	TIMP2
SH3YL1	RFC1
SEC62	TBC1D23
ATP2C1	CUL3
NUP160	CUL3
RBM5	TUBG2
CRAMP1	TUBG2
TSPAN9	TUBG2
CEP68	TUBG2
TMEM159	TUBG2
CALCOCO1	TUBG2
TIMP2	TUBG2
COX10	RPL26L1
ALG1	RPL26L1
FAM136A	RPL26L1
RALBP1	FBXO42
OSBPL7	MRI1
IFFO1	MRI1
OSBPL5	EDC4
SPAG9	TRIO
CLCN6	TRIO
ATP6V0A1	TRIO
ARNTL2	VCAN
KPNA6	CLEC16A
CFTR	CDH1
CYP51A1	CDH1
ARHGAP44	CDH1
SCIN	CDH1
CACNA2D2	CDH1
MGST1	CDH1
RHOBTB2	CDH1
GPRC5A	CDH1
ACPP	CDH1
IL20RA	CDH1
PLEKHB1	CDH1
HSD17B6	CDH1
SEC62	MTREX
RABEP1	MTREX
TBC1D23	MTREX
VRK2	ZFYVE16
ITGA3	RIPOR1
RHBDF1	RIPOR1
PHLDB1	RIPOR1
OSBPL5	RIPOR1
ZMYND10	C6
WDR54	C6
DNAH9	C6
DLEC1	C6
LRRC23	C6
EFCAB1	C6
TRIO	RAI14
KDM7A	PHLPP2
FARP2	PHLPP2
CRY1	PHLPP2
MAP4K5	PHLPP2
WWTR1	PHLPP2
ZRANB1	PHLPP2
UBA6	PHLPP2
RNF19A	PHLPP2
CENPQ	SPDL1
ANKIB1	STAU2
SKAP2	STAU2
AGK	STAU2
FAM13B	STAU2
CIAPIN1	SLC66A1
ELAC2	SLC66A1
TSR3	SLC66A1
DNASE1L1	SLC66A1
ALG1	SLC66A1
FAM136A	SLC66A1
DNAJC11	CTNS
RBM5	INPP4A
AGK	INPP4A
PHTF2	INPP4A
ZNF207	INPP4A
MBTD1	INPP4A
UBR2	INPP4A
STAU2	INPP4A
ACPP	RAB27B
MCUB	TDP1
PHTF2	TDP1
PSMC4	AIFM2
ABCF2	AIFM2
TSPAN6	SPATA7
FUZ	SPATA7
ST7	RETSAT
GDE1	RETSAT
DNASE1L1	RETSAT
MARCO	CAPG
CHPF2	AP2S1
NFYA	LCP2
ZFP64	CUL7
CFTR	DSG2
CYP51A1	DSG2
MAP3K9	DSG2
ARHGAP44	DSG2
SCIN	DSG2
CACNA2D2	DSG2
MGST1	DSG2
RHOBTB2	DSG2
GPRC5A	DSG2
PRKAR2B	GPM6B
FHL1	GPM6B
FHL1	PREX2
KDM1A	WDR37
MSL3	WDR37
CLCN6	WDR37
AKAP8L	WDR37
YAF2	YTHDC2
FUCA2	ATP6V1H
IBTK	POLR2B
ADSS2	POLR2B
TSPAN6	FAM214A
PRKAR2B	FAM214A
CEP68	FAM214A
CALCOCO1	FAM214A
CCDC28A	FAM214A
STPG1	KIAA0556
SPPL2B	KIAA0556
WDR54	KIAA0556
FUZ	KIAA0556
LRRC23	KIAA0556
CCDC88C	KIAA0556
ZNF195	C12orf4
COX10	C12orf4
SPRTN	C12orf4
ZNF200	C12orf4
GLRX2	C12orf4
SPDL1	C12orf4
KDM7A	SCML1
JARID2	SCML1
SPAG9	SCML1
HSF2	SCML1
RNF19A	SCML1
ST7	WWC3
ARHGAP44	WWC3
CDKL5	WWC3
PRKAR2B	ARHGAP6
RHBDF1	ARHGAP6
FYN	ARHGAP6
GPM6B	ARHGAP6
PREX2	ARHGAP6
FAM214A	ARHGAP6
LASP1	MAP4
ASTE1	GOPC
CFTR	ROS1
SCIN	ROS1
CACNA2D2	ROS1
MGST1	ROS1
RHOBTB2	ROS1
MLXIPL	ROS1
ACPP	ROS1
STAU2	USP28
STPG1	CC2D2A
REXO5	CC2D2A
WDR54	CC2D2A
FUZ	CC2D2A
LRRC23	CC2D2A
MKS1	CC2D2A
SPATA7	CC2D2A
RANBP9	RRM2B
CFLAR	ZNF800
KMT2E	ZNF800
RANBP9	ZNF800
ZNF207	ZNF800
MAP4K3	ZNF800
YAF2	ZNF800
RUFY3	ZNF800
KPNA6	ZNF800
PIAS1	ZNF800
CFTR	LMO3
ACSM3	LMO3
SCIN	LMO3
CACNA2D2	LMO3
MGST1	LMO3
RHOBTB2	LMO3
MLXIPL	LMO3
ACPP	LMO3
CDH1	LMO3
DSG2	LMO3
ROS1	LMO3
MBTD1	RSF1
YAF2	RSF1
STAU2	RSF1
CFLAR	VPS13D
KMT2E	VPS13D
KDM7A	VPS13D
SPAG9	VPS13D
PIK3C2A	VPS13D
RUFY3	VPS13D
UBR2	VPS13D
GAB2	VPS13D
PIAS1	VPS13D
TRIO	VPS13D
PIK3C2A	CELF2
RB1CC1	CELF2
UBR2	CELF2
IFNGR1	CELF2
PIAS1	CELF2
VPS13D	CELF2
RALA	KITLG
LRRC23	EPN3
CFH	LTBP1
GGCT	RCN1
PSMB1	RFC2
PSMC4	RFC2
PSMA4	RFC2
CRAMP1	ARID1B
ZRANB1	ARID1B
VPS13D	ARID1B
UQCRC1	CLPTM1L
ATP6V1H	CLPTM1L
MAP3K9	NEDD4L
ARHGAP44	NEDD4L
CACNA2D2	NEDD4L
CDKL5	NEDD4L
ANOS1	NEDD4L
GPRC5A	NEDD4L
IL20RA	NEDD4L
DAPK2	NEDD4L
CDH1	NEDD4L
DSG2	NEDD4L
GDE1	HEXB
MDH1	HEXB
RRAGD	HEXB
ATP6V1H	HEXB
CROT	PTCD2
EEF1AKNMT	PTCD2
BRCA1	PTCD2
CENPQ	PTCD2
SPDL1	PTCD2
MDH1	JKAMP
NDUFS1	JKAMP
PEX3	JKAMP
ATP6V1H	JKAMP
RHBDF1	DKK3
CYTH3	DKK3
TSPAN9	DKK3
FHL1	DKK3
GPM6B	DKK3
ARHGAP6	DKK3
ARHGAP44	ARHGEF5
CD9	ARHGEF5
DSG2	ARHGEF5
NEDD4L	ARHGEF5
LUC7L	NFE2L3
CYTH3	LIMA1
FHL1	LIMA1
MAP3K14	BCAR1
MARK4	BCAR1
TEAD3	BCAR1
PRICKLE3	BCAR1
PLEKHO1	BCAR1
RIPOR1	BCAR1
PNKP	FAM160A2
TMEM132A	HOMER3
APBA3	HOMER3
ATP2C1	PIK3CB
REX1BD	CYBA
PNPLA6	CYBA
RALBP1	HEBP2
TSPAN6	PLEKHA5
ADAM22	PLEKHA5
TMEM159	PLEKHA5
RB1CC1	PLEKHA5
ARID4A	PLEKHA5
FAM214A	PLEKHA5
RSF1	PLEKHA5
ARID1B	PLEKHA5
MAP3K9	PRSS8
CACNA2D2	PRSS8
RHOBTB2	PRSS8
GPRC5A	PRSS8
NEDD4L	PRSS8
RNF14	SIKE1
CFTR	MSMO1
CYP51A1	MSMO1
MAP3K9	MSMO1
MGST1	MSMO1
PRSS8	MSMO1
PAFAH1B1	TTC17
MAP4K3	TTC17
PIAS1	TTC17
INPP4A	TTC17
ARID1B	TTC17
PRKAR2B	FOXN3
CYTH3	FOXN3
REV3L	FOXN3
TMEM159	FOXN3
CALCOCO1	FOXN3
ARID4A	FOXN3
TIMP2	FOXN3
GPM6B	FOXN3
