A	B
LAP3	HCCS
SPPL2B	TSPOAP1
KRIT1	GCFC2
TSPAN6	LAMP2
CASP10	MAP3K14
SEMA3F	TMEM132A
ITGA3	TMEM132A
SLC7A2	BAIAP2L1
MTMR7	PAX6
ARX	PAX6
ABCC8	PAX6
ETV1	PAX6
MTMR7	CACNA2D2
ABCC8	CACNA2D2
ETV1	CACNA2D2
PAX6	CACNA2D2
ABCC8	BAIAP3
PAX6	BAIAP3
CACNA2D2	BAIAP3
SPATA20	PIGQ
PRSS22	TEAD3
TSPAN6	CDKL5
LAMP2	CDKL5
ETV1	ADAM22
ENPP4	SYPL1
MTMR7	CELSR3
ARX	CELSR3
ABCC8	CELSR3
ETV1	CELSR3
PAX6	CELSR3
CACNA2D2	CELSR3
BAIAP3	CELSR3
RHBDF1	PLEKHG6
GAS7	NFIX
CYTH3	NFIX
MTMR7	MAPK8IP2
PAX6	MAPK8IP2
CACNA2D2	MAPK8IP2
CELSR3	MAPK8IP2
PKD1	MAPK8IP2
CACNA2D2	MLXIPL
BAIAP3	MLXIPL
CELSR3	MLXIPL
MAPK8IP2	MLXIPL
ANKIB1	RANBP9
SPPL2B	IFFO1
TSPOAP1	IFFO1
SPATA20	IFFO1
ETV1	GIPR
PAX6	GIPR
CACNA2D2	GIPR
BAIAP3	GIPR
CELSR3	GIPR
MLXIPL	GIPR
WDR54	NISCH
CELSR3	NISCH
MAPK8IP2	NISCH
GAS7	STAB1
PHTF2	IDS
ITGAL	CD4
GAS7	CD4
TSPAN6	HFE
CROT	HFE
TMEM98	HFE
NADK	SCMH1
PLXND1	FYN
COX10	ELOA
CD4	MRC2
PLXND1	TSPAN9
DVL2	TSPAN9
NFIX	TSPAN9
BAIAP2L1	ABHD5
MGST1	ABHD5
GIPR	AKAP8L
ANKIB1	MBTD1
RANBP9	MBTD1
SYPL1	UTP18
CSDE1	UTP18
DPM1	TTC19
MTMR7	SYT7
ABCC8	SYT7
PAX6	SYT7
CACNA2D2	SYT7
SYN1	SYT7
CELSR3	SYT7
MAPK8IP2	SYT7
FGR	PLAUR
PRSS22	PLAUR
CX3CL1	PLAUR
SCMH1	WIZ
ITGAL	TYROBP
GAS7	TYROBP
PLAUR	TYROBP
PROM1	NR1H4
FUZ	CALCOCO1
KIAA0100	PSMC4
ELOA	NUB1
IBTK	PGM3
SARM1	RWDD2A
RAD52	CLK1
FAM76A	DNASE1L1
TMEM98	HEBP1
UBR7	HEBP1
ICA1	UFL1
SEC62	UFL1
POLDIP2	CAPN1
ELAC2	CAPN1
SEC62	SLC30A9
GAS7	WAS
MRC2	WAS
PLAUR	WAS
PTBP1	BID
ARX	ISL1
ABCC8	ISL1
ETV1	ISL1
PAX6	ISL1
CACNA2D2	ISL1
BAIAP3	ISL1
CELSR3	ISL1
MAPK8IP2	ISL1
GIPR	ISL1
VPS41	RALBP1
ABCC8	CNTN1
ETV1	CNTN1
PAX6	CNTN1
ADAM22	CNTN1
CELSR3	CNTN1
ISL1	CNTN1
STAB1	SLC11A1
PLAUR	SLC11A1
TYROBP	SLC11A1
WAS	SLC11A1
POLR3B	AGPS
ABCC8	SYT13
PAX6	SYT13
BAIAP3	SYT13
CELSR3	SYT13
CNTN1	SYT13
MRC2	CD74
PLAUR	CD74
CFH	HGF
ETV1	HGF
TMEM132A	NCDN
GAS7	ADGRA2
