A	B
SCYL3	SNX11
TSPAN6	ICA1
LASP1	CASP10
LASP1	PLXND1
CASP10	PLXND1
ALS2	VPS50
NDUFAF7	HCCS
CFH	MCUB
TMEM176A	MCUB
DHX33	LIG3
ALS2	RPAP3
VPS50	RPAP3
LAS1L	SPPL2B
ARF5	COPZ2
HCCS	IBTK
KMT2E	MYCBP2
COPZ2	REX1BD
LASP1	TMEM98
TMEM176A	TMEM98
ARHGAP33	TMEM98
MCUB	TMEM98
NFYA	ZNF263
ANKIB1	RALA
VPS50	RALA
RPAP3	RALA
ZNF263	FARP2
NDUFAF7	GGCT
NDUFAB1	GGCT
HCCS	GGCT
AP2B1	VPS41
ARF5	ELAC2
AK2	ELAC2
AP2B1	ELAC2
LASP1	ARSD
ICA1	ARSD
TMEM98	ARSD
ALDH3B1	ARSD
NIPAL3	PNPLA4
NDUFAB1	PNPLA4
IBTK	PNPLA4
SCYL3	PAFAH1B1
ALS2	PAFAH1B1
RPAP3	PAFAH1B1
TMEM98	GAS7
ARF5	TRAPPC6A
REX1BD	TRAPPC6A
BAD	RPUSD1
ARHGAP33	BAIAP3
COPZ2	TSR3
TRAPPC6A	TSR3
RHBDD2	PIGQ
CCDC124	PIGQ
LASP1	CYTH3
LASP1	CYB561
PLXND1	CYB561
TMEM98	CYB561
GAS7	CYB561
NDUFAB1	MPND
REX1BD	MPND
PNPLA4	MPND
PNPLA4	NFIX
POLDIP2	MED24
KMT2E	HEATR5B
KRIT1	SEC62
KIAA0100	CSDE1
ADIPOR2	UBE3C
KDM7A	POMT2
SCYL3	VTA1
KRIT1	VTA1
ALS2	VTA1
VPS50	VTA1
PAFAH1B1	VTA1
CSDE1	VTA1
GCLC	BAZ1B
PAFAH1B1	BAZ1B
KDM7A	RANBP9
SPAG9	RANBP9
CSDE1	RANBP9
KDM7A	SPRTN
REV3L	SPRTN
SCYL3	EEF1AKNMT
DPM1	DYRK4
ARF5	DYRK4
HCCS	UQCRC1
PNPLA4	UQCRC1
MPND	UQCRC1
COPZ2	FUZ
REX1BD	FUZ
TRAPPC6A	FUZ
PIGQ	LRRC23
POLDIP2	SCMH1
MPND	SCMH1
ARSD	FYN
MGST1	FYN
VTA1	ELOA
LASP1	TSPAN9
PLXND1	TSPAN9
CYB561	TSPAN9
IFFO1	TSPAN9
SCYL3	BTBD7
GCLC	BTBD7
CCDC124	APBA3
LYPLA2	APBA3
SPPL2B	MKS1
CDK11A	AKAP8L
NADK	AKAP8L
KIAA0100	RNF216
LAP3	TTC19
CIAPIN1	TTC19
LAS1L	PTBP1
RBM6	PTBP1
AKAP8L	PTBP1
NDUFAB1	LARS2
GGCT	LARS2
FARP2	PIK3C2A
ZNF207	PIK3C2A
MBTD1	PIK3C2A
CRAMP1	WIZ
KRIT1	RABGAP1
ALS2	RABGAP1
RPAP3	RABGAP1
VTA1	RABGAP1
MCUB	DCN
TMEM98	DCN
TENM1	DCN
AK2	PPP5C
LYPLA2	PPP5C
GCFC2	MAP4K3
ABCB4	TMEM159
CROT	BRCA1
WIZ	PRICKLE3
GDE1	EXTL3
PLAUR	ELOVL5
SPPL2B	CALCOCO1
ALDH3B1	MAN2B2
ARSD	MAN2B2
NISCH	MAN2B2
FYN	MAN2B2
CLCN6	MAN2B2
ST7L	NUB1
PSMB1	NUB1
BRCA1	POLR3B
VPS41	ANGEL1
SCYL3	RNF14
SNX11	RNF14
CIAPIN1	RNF14
DNAJC11	RNF14
ELOA	RNF14
COPZ2	DNASE1L1
TRAPPC6A	DNASE1L1
MPND	DNASE1L1
FUZ	DNASE1L1
SCMH1	DNASE1L1
ARF5	HEBP1
AP2B1	HEBP1
VPS41	HEBP1
ALS2	UFL1
MBTD1	UFL1
PAF1	POLA2
MAD1L1	ZC3H3
MSL3	CAPN1
RPUSD1	CAPN1
MED24	CAPN1
