A	B
SLC25A13	CDC27
CASP10	MSL3
ARHGAP33	ITGA2B
TSPOAP1	ITGA2B
ITGA2B	YBX2
CFLAR	KDM7A
PLXND1	ALDH3B1
MAP3K14	GGCT
MSL3	DBF4
RBM6	IFRD1
ITGAL	MATK
IFRD1	LUC7L
MAP3K14	TEAD3
GGCT	TEAD3
STPG1	MPND
GCLC	MGST1
MGST1	ST3GAL1
MATK	TRAF3IP3
CD79B	TRAF3IP3
BAIAP2L1	POMT2
ALDH3B1	IFFO1
TSPOAP1	FUZ
CD79B	BTK
NDUFAB1	LYPLA2
PSMB1	LYPLA2
PKD1	APBA3
SARM1	MKS1
RABGAP1	MAP4K3
RHBDF1	SEMA3B
NADK	PRICKLE3
CFLAR	CALCOCO1
KDM7A	CALCOCO1
PIGQ	SLC25A39
MAP3K14	MVP
GGCT	MVP
CALCOCO1	CLK1
AP2B1	RNF14
ELAC2	DNASE1L1
MATK	CD6
BTK	CD6
CD79B	TACC3
IFFO1	TACC3
BTK	TACC3
ANGEL1	POLA2
PSMC4	CAPN1
FUCA2	MDH1
LARS2	MDH1
MATK	CCDC88C
CD79B	CCDC88C
BAIAP3	CCDC88C
TRAF3IP3	CCDC88C
IFFO1	CCDC88C
BTK	CCDC88C
CD6	CCDC88C
TACC3	CCDC88C
ST7	ZMYND11
MCUB	WAS
CD79B	WAS
CD6	WAS
CCDC88C	WAS
SLC6A13	VSIG2
RHBDF1	PHLDB1
CD6	CD74
PDK2	ZFP64
MATK	RUNX3
BTK	RUNX3
CCDC88C	RUNX3
SCMH1	RNF10
CIAPIN1	NDUFS1
UQCRC1	ALAS1
MCUB	BIRC3
ITGAL	BIRC3
TRAF3IP3	BIRC3
CD6	BIRC3
CCDC88C	BIRC3
CD74	BIRC3
RUNX3	BIRC3
RB1CC1	DERA
ABHD5	STRAP
MATK	DEF6
CD79B	DEF6
IFFO1	DEF6
TACC3	DEF6
CD74	DEF6
MCUB	PLEKHO1
GCLC	GCLM
MGST1	GCLM
OSBPL5	EHD2
FUZ	CCDC28A
CCDC28A	RRAGD
ZNF207	HSF2
MVP	TYMP
RNF10	TOMM34
ARHGAP33	RNASET2
TSPOAP1	RNASET2
VIM	CD44
BTK	SLAMF7
CCDC88C	SLAMF7
WAS	SLAMF7
MATK	BTN3A1
TRAF3IP3	BTN3A1
IFFO1	BTN3A1
CD6	BTN3A1
CCDC88C	BTN3A1
CD74	BTN3A1
BIRC3	BTN3A1
DEF6	BTN3A1
SLAMF7	BTN3A1
AKAP11	PRKCH
CAPN1	B4GALT7
AKAP11	VRK2
MVP	TNFRSF1B
CD79B	POU2F2
CD6	POU2F2
CCDC88C	POU2F2
RUNX3	POU2F2
SLAMF7	POU2F2
ST3GAL1	SNX1
RHOBTB2	SNX1
MCUB	ARNTL2
TNFRSF1B	ARNTL2
VRK2	BCLAF1
AP2B1	SLC39A9
CROT	HMGB3
PAFAH1B1	NUP160
MATR3	IKZF2
PRDM11	ARHGAP31
TRAPPC6A	EIPR1
CYB561	EIPR1
NCDN	PNPLA6
RABGAP1	IFT88
MAP4K3	IFT88
GCLC	CHPF2
KDM7A	GAB2
YAF2	PIAS1
KDM7A	SLC4A7
SAMD4A	SLC4A7
FAS	SLC4A7
TACC3	APBA2
MAP3K14	MAP2K3
CD99	TMSB10
MVP	TMSB10
MSL3	RNF19A
JARID2	RNF19A
FYN	RNF19A
FBXL3	PEX3
MIPEP	PEX3
CCDC28A	SH3YL1
ITGAL	STAP1
CD79B	STAP1
TRAF3IP3	STAP1
BTK	STAP1
CD6	STAP1
RUNX3	STAP1
SLAMF7	STAP1
POU2F2	STAP1
CFH	TIMP2
NFIX	TIMP2
SPATA20	TUBG2
LARS2	RPL26L1
GGCT	MFAP3
VEZT	PI4K2B
ITGA3	CLEC16A
TEAD3	CLEC16A
CROT	CDH1
CASP10	INPP4A
MSL3	INPP4A
JARID2	INPP4A
RNF19A	INPP4A
FUZ	THAP3
PNPLA6	THAP3
INPP4A	TDP1
PSMC4	AIFM2
ALAS1	AIFM2
RETSAT	CAPG
IYD	TG
ITGAL	ADAM28
BTK	ADAM28
CD6	ADAM28
CCDC88C	ADAM28
WAS	ADAM28
RUNX3	ADAM28
SLAMF7	ADAM28
POU2F2	ADAM28
STAP1	ADAM28
EEF1AKNMT	JADE2
MCUB	LCP2
CD6	LCP2
BIRC3	LCP2
PLEKHO1	LCP2
IFT88	TRIT1
PI4K2B	TRIT1
DVL2	PHKA2
RETSAT	DSG2
CALCOCO1	OFD1
CLK1	OFD1
CD44	PREX2
TRIT1	YTHDC2
CIAPIN1	POLR2B
UBR2	FAM214A
RUFY3	ARAP2
SPATA20	KIAA0556
BAIAP2L1	KIAA0556
AASS	SCML1
LASP1	MAP4
MVP	NOP16
SNX1	NOP16
ADAM22	CC2D2A
ZFP64	CC2D2A
CPS1	CC2D2A
HSF2	ZNF800
IFNGR1	ZNF800
DCUN1D1	RSF1
GCLM	VPS13D
MCUB	CELF2
RNF19A	CELF2
DTNBP1	RFC2
AIFM2	CLPTM1L
JADE2	PTCD2
CROT	ARHGEF5
ST3GAL1	ARHGEF5
GCLM	ARHGEF5
SNX1	ARHGEF5
CASP10	NFE2L3
ST7	MCUR1
WWTR1	LIMA1
PHLDB1	LIMA1
LAS1L	LETMD1
PRICKLE3	BCAR1
HSPA5	HERPUD1
RTN4R	HOMER3
ST7	PIK3CB
MCUR1	PIK3CB
REX1BD	CYBA
INPP4A	MPHOSPH9
TDP1	MPHOSPH9
ARHGEF5	PRSS8
CLEC16A	RRP12
TRIT1	TTC17
PDK2	AKR7A2
ZFP64	AKR7A2
GRN	AKR7A2
CC2D2A	NRIP2
PRSS8	KCNQ1
ZRANB1	THRAP3
EIPR1	PHPT1
HOMER3	PHPT1
PLEKHB1	HHAT
FHL1	HHAT
TIMP2	FOXC1
LTBP1	FOXC1
MARK4	TBC1D22A
CCDC28A	SYNE2
SH3YL1	SYNE2
ARHGEF5	PLEKHH1
MAP3K14	RELT
PLEKHO1	RELT
LCP2	RELT
BTN3A1	TRAF1
CYFIP2	TRAF1
SERPINB1	TRAF3IP2
CDKL5	DCBLD2
RECQL	SOAT1
TG	LAMC2
FNIP2	PPP1R12A
TSPOAP1	CAMK2B
COL23A1	CAMK2B
PAFAH1B1	POLR3E
YTHDC2	POLR3E
LIMA1	ATP2B4
MSL3	PARP12
JARID2	PARP12
INPP4A	PARP12
PSMC4	ALDH18A1
NDUFS1	ALDH18A1
ALAS1	ALDH18A1
YIPF1	ALDH18A1
IFRD1	MXD1
IFRD1	CDK17
ATP2B4	CDK17
MAP3K14	YBX3
GGCT	YBX3
TEAD3	YBX3
STAB1	GNA15
NIPAL3	PIGV
JADE2	PIGV
ARHGAP44	PTPRU
UBE3C	SNRNP40
ICA1	MPC1
NISCH	HDAC7
PRICKLE3	HDAC7
LIMA1	GUCY1B1
CELSR3	TNK2
DEF6	TNK2
RNASET2	TNK2
BTN3A1	TNK2
TRAF1	TNK2
VRK2	MON2
ZNF582	ZNF112
FAS	VMP1
CCDC28A	EIF4B
SYNE2	EIF4B
PRICKLE3	BICRA
PPP1R3F	SPHK2
CYB561	ISOC2
EIPR1	ISOC2
METTL1	ISOC2
NADK	U2AF2
BICRA	U2AF2
UPF1	EPN1
ZC3H3	EPN1
RHBDD2	MED29
AP2S1	GPC1
FAM214B	ADCK1
MSL3	CASP8
CELF2	CASP8
VPS13D	LIMCH1
AKR7A2	TM7SF3
ITGAL	TSPAN32
MATK	TSPAN32
TRAF3IP3	TSPAN32
CD6	TSPAN32
CCDC88C	TSPAN32
DEF6	TSPAN32
BTN3A1	TSPAN32
ADAM28	TSPAN32
TSPOAP1	ATP2C2
VSIG2	ATP2C2
CAMK2B	ATP2C2
BAD	TMEM161A
FAM76A	DDX20
PIAS1	DDX20
ASTE1	DDX20
PLXND1	FAR2
MAP3K14	SBNO2
GGCT	SBNO2
TEAD3	SBNO2
WIZ	HMG20B
ZC3H3	HMG20B
PNPLA6	HMG20B
RBM5	TAF11
PIAS1	ANKS1A
TBXA2R	SLC9A3R2
CC2D2A	NTHL1
SYPL1	OAT
HSF2	PKN2
IFT88	PKN2
GAS7	NTN1
MCUB	DGKA
ITGAL	DGKA
CD79B	DGKA
TRAF3IP3	DGKA
IFFO1	DGKA
BTK	DGKA
CD6	DGKA
TACC3	DGKA
WAS	DGKA
RUNX3	DGKA
BIRC3	DGKA
PLEKHO1	DGKA
SLAMF7	DGKA
BTN3A1	DGKA
SH2D2A	DGKA
TNFRSF1B	DGKA
POU2F2	DGKA
ADAM28	DGKA
LCP2	DGKA
CELF2	DGKA
RELT	DGKA
SPAG4	DGKA
CASP8	DGKA
TSPAN32	DGKA
CASP10	ANKRD44
MCUB	ANKRD44
ITGAL	ANKRD44
TRAF3IP3	ANKRD44
IFFO1	ANKRD44
BTK	ANKRD44
CD6	ANKRD44
TACC3	ANKRD44
CCDC88C	ANKRD44
WAS	ANKRD44
RUNX3	ANKRD44
DEF6	ANKRD44
BTN3A1	ANKRD44
ADAM28	ANKRD44
LCP2	ANKRD44
CASP8	ANKRD44
TSPAN32	ANKRD44
DGKA	ANKRD44
CSDE1	KARS1
TOMM34	KARS1
QSER1	MAP2K4
TDP1	PACC1
TRAF1	PACC1
CAMK2B	GSTO2
ZNF207	SEC61A2
NIPAL3	PRKCQ
SPATA20	TLE2
PIGQ	TLE2
KIAA0556	TLE2
BCAR1	TLE2
TMEM161A	TLE2
LIMA1	FAM107B
GCLC	ME1
MGST1	ME1
GCLM	ME1
TRAF3IP2	TBC1D1
HIPK2	TBC1D1
PLEKHB1	ZMYND12
HHAT	ZMYND12
CD79B	CD84
CD6	CD84
CCDC88C	CD84
RUNX3	CD84
SLAMF7	CD84
ADAM28	CD84
CELF2	CD84
DGKA	CD84
ANKRD44	CD84
AIFM2	ELOVL1
IYD	MPPED2
LRRC7	MPPED2
CDH1	MPPED2
HHAT	MPPED2
CAMK2B	MPPED2
ATP2C2	MPPED2
GSTO2	MPPED2
GSTO2	FGFR2
MPPED2	FGFR2
SLC25A13	LRRC40
COPZ2	EML1
NTHL1	EML1
SCML1	TRMT11
TAF11	ATG2B
POLR3B	FECH
AIFM2	FECH
ELOVL1	FECH
MSL3	SP100
RNF19A	SP100
CALCRL	PLPP1
SLC9A3R2	PLPP1
TSPAN6	NEO1
MRPS35	TRAM1
MAP2K3	TNFRSF1A
NOP16	TNFRSF1A
RRP12	TNFRSF1A
CAPN1	STOML1
DVL2	METTL22
USP36	METTL22
HDAC7	METTL22
AGPAT4	TRO
AP2B1	RHOA
AP2B1	IARS2
ADGRA2	NAV3
DNASE1L1	IDH3G
REX1BD	ROGDI
OSBPL7	ROGDI
PHPT1	ROGDI
CROCC	ROGDI
ZBTB11	CBFB
CELF2	PDK3
CHPF2	HYAL2
PLEKHO1	RASSF1
FAS	RASSF1
RNF19A	RASSF1
LIMA1	RASSF1
FAM107B	RASSF1
RAD52	HEATR6
OSBPL7	PLEKHH3
CROCC	PLEKHH3
ROGDI	PLEKHH3
ATP11B	MEF2A
LRRC40	MEF2A
RNF4	OTUD5
SERPINB1	ACSL4
SNAPC1	ACSL4
CDK17	ACSL4
HDAC7	GRIPAP1
TIMP2	REEP1
NTN1	REEP1
RHOBTB2	ATP11A
SNX1	ATP11A
CHPF2	ATP11A
SPATA20	IP6K2
MKS1	IP6K2
TUBG2	IP6K2
FAM160A2	IP6K2
PEX3	SRBD1
FECH	SRBD1
CD79B	RASGRP2
TRAF3IP3	RASGRP2
BTK	RASGRP2
CD6	RASGRP2
TACC3	RASGRP2
CCDC88C	RASGRP2
WAS	RASGRP2
RUNX3	RASGRP2
DEF6	RASGRP2
POU2F2	RASGRP2
DGKA	RASGRP2
ANKRD44	RASGRP2
CD84	RASGRP2
YAF2	PSME4
VPS13D	PSME4
HEXB	ERLEC1
NCDN	PPP2R5B
HMG20B	PPP2R5B
UBE3C	NUP133
SYPL1	NUCKS1
ERLEC1	NUCKS1
MAP3K14	BCL3
MVP	BCL3
TRAF3IP3	KCNAB2
IFFO1	KCNAB2
CD6	KCNAB2
TACC3	KCNAB2
CCDC88C	KCNAB2
RUNX3	KCNAB2
ADAM28	KCNAB2
CELF2	KCNAB2
CASP8	KCNAB2
TSPAN32	KCNAB2
DGKA	KCNAB2
ANKRD44	KCNAB2
RASGRP2	KCNAB2
CFH	ABCC9
ITGAL	CLEC2D
MATK	CLEC2D
TRAF3IP3	CLEC2D
CD6	CLEC2D
CCDC88C	CLEC2D
RUNX3	CLEC2D
BIRC3	CLEC2D
DEF6	CLEC2D
ADAM28	CLEC2D
TRAF1	CLEC2D
TSPAN32	CLEC2D
DGKA	CLEC2D
RASGRP2	CLEC2D
KCNAB2	CLEC2D
CC2D2A	MAOB
SPAG9	RORA
AASS	RORA
FOXN3	TGFBR3
SNX1	ATP1B3
SLC25A13	PIGB
VEZT	PIGB
