A	B
RAD52	ZMYND10
SOX8	TMEM132A
KLHL13	ETV1
FGR	ADIPOR2
SLC7A2	ADIPOR2
SOX8	GAS7
ARHGAP33	BAIAP3
TSPOAP1	BAIAP3
SLC7A2	AASS
ADIPOR2	AASS
SLC25A5	ST3GAL1
PDK2	FUZ
FMO1	MRC2
KLHL13	ANOS1
ETV1	ANOS1
NFIX	TMEM159
ABCC8	CD22
RHBDF1	SEMA3B
ABCB4	CNTN1
ETV1	CNTN1
ANOS1	CNTN1
ETV1	ADGRA2
ADAM22	ADGRA2
HFE	ADGRA2
STPG1	CPS1
BRCA1	CPS1
ADAM22	FHL1
PLEKHB1	GRAMD1B
ADIPOR2	BIRC3
STPG1	EHD2
TRAF3IP3	RNASET2
HGF	CD44
TSPOAP1	BTN3A1
TRAF3IP3	BTN3A1
ADGRA2	BTN3A1
CD44	ARNTL2
ADIPOR2	IKZF2
NRXN3	IKZF2
FAM13B	ARHGAP31
GGCT	ABCF2
ABCC8	LRRC7
CD22	LRRC7
PLEKHB1	LRRC7
GRAMD1B	LRRC7
ETV1	FUT8
HIVEP2	SLC4A7
ABCC8	DEPDC1B
CD22	DEPDC1B
LRRC7	DEPDC1B
FUT8	DEPDC1B
DLEC1	DAPK2
SLC25A5	METTL1
GGCT	METTL1
TYMP	VCAN
DEPDC1B	CDH1
KLHL13	RAI14
PRDM11	CTNS
CLEC16A	CTNS
PLEKHB1	RTN4R
MGST1	RIPOR3
MGST1	AIFM2
SLC25A39	AP2S1
KLHL13	EPHA3
METTL1	HSPA5
SOX8	GPM6B
SEMA3B	GPM6B
CNTN1	GPM6B
TSPAN6	FAM214A
SLC7A2	ARHGAP6
REV3L	ARHGAP6
KLHL13	HDAC9
ABCB4	HDAC9
BTN3A1	HDAC9
EPHA3	HDAC9
SLC25A5	NOP16
FBXL3	CELF2
CNTN1	COL9A2
ST3GAL1	H6PD
MASP2	PER3
PLEKHG6	PTGER3
MLXIPL	PTGER3
SLC25A5	RRP12
GGCT	RRP12
ST3GAL1	RRP12
ABCC8	NRIP2
CD22	NRIP2
PLEKHB1	NRIP2
GRAMD1B	NRIP2
LRRC7	NRIP2
FUT8	NRIP2
DEPDC1B	NRIP2
CDH1	NRIP2
CNTN1	ENTPD2
COL9A2	ENTPD2
ETV1	HHAT
ADGRA2	HHAT
BTN3A1	HHAT
CNTN1	CYFIP2
EPHA3	CYFIP2
ABCC8	MCOLN3
CD22	MCOLN3
LRRC7	MCOLN3
CDH1	MCOLN3
NRIP2	MCOLN3
ST3GAL1	TRAF3IP2
ABHD5	TRAF3IP2
ARNTL2	TRAF3IP2
VCAN	TRAF3IP2
H6PD	TRAF3IP2
MLXIPL	GYG2
PTGER3	GYG2
PLEKHB1	PKP2
GPM6B	PKP2
MAP2K3	SEC61A1
CD22	CAMK2B
PLEKHB1	CAMK2B
GRAMD1B	CAMK2B
LRRC7	CAMK2B
RTN4R	CAMK2B
NRIP2	CAMK2B
MCOLN3	CAMK2B
MASP2	TARBP1
PER3	TARBP1
NIPAL3	GATB
FUT8	GATB
GGCT	YBX3
NOP16	YBX3
RRP12	YBX3
NIPAL3	PTPRU
CD22	PTPRU
CHDH	PTPRU
PLEKHB1	PTPRU
GRAMD1B	PTPRU
LRRC7	PTPRU
FUT8	PTPRU
DEPDC1B	PTPRU
CDH1	PTPRU
RTN4R	PTPRU
NRIP2	PTPRU
MCOLN3	PTPRU
CAMK2B	PTPRU
GATB	PTPRU
ARHGAP44	GUCY1B1
CTNS	SPHK2
COL9A2	CA11
POLD1	ISOC2
CHDH	LIMCH1
PLEKHB1	LIMCH1
GRAMD1B	LIMCH1
LRRC7	LIMCH1
CDH1	LIMCH1
NRIP2	LIMCH1
MCOLN3	LIMCH1
CAMK2B	LIMCH1
PTPRU	LIMCH1
ADAM22	CDON
NFIX	CDON
ADGRA2	CDON
BTN3A1	CDON
RRAGD	SLC12A2
LIMCH1	SLC12A2
RRAGD	EYA2
SOX8	BCAS1
PLEKHB1	BCAS1
GRAMD1B	BCAS1
LRRC7	BCAS1
GPM6B	BCAS1
NRIP2	BCAS1
PKP2	BCAS1
CAMK2B	BCAS1
PTPRU	BCAS1
LIMCH1	BCAS1
NOP16	SBNO2
TRAF3IP2	SBNO2
SOX8	ERBB3
GAS7	ERBB3
CNTN1	ERBB3
NRXN3	ERBB3
GPM6B	ERBB3
CC2D2A	ANKRD44
HIVEP2	FAM107B
ST3GAL1	MTHFD2
SOX8	SLC9A3
SEMA3B	SLC9A3
ADGRA2	KIF26A
AGPAT4	STAG3
CD44	PFKP
EML1	NEO1
MAP2K3	TNFRSF1A
CYB561	PKM
TSPOAP1	TRO
BTN3A1	TRO
MASP2	NAV3
LRRC7	NAV3
FUT8	NAV3
TARBP1	NAV3
ZFP64	ROGDI
ADCK1	ROGDI
ARHGAP33	PDZD4
OSBPL7	PDZD4
ERBB3	PDZD4
ARHGAP6	PDK3
REV3L	ACSL4
TRAF3IP2	ACSL4
PIAS1	INPP5A
PRDM11	IP6K2
CTNS	IP6K2
SPHK2	IP6K2
SKAP2	SRBD1
EHD2	RASGRP2
PITHD1	SIRT2
DSG2	ADGRF5
SOX8	SDK2
SEMA3B	SDK2
CNTN1	SDK2
NRIP2	SDK2
ERBB3	SDK2
RELT	BCL3
GGCT	ATP1B3
YBX3	ATP1B3
SPAG4	ATP1B3
ARHGAP44	GNB5
REV3L	RAB27A
ACSL4	RAB27A
PLEKHB1	SPTB
GRAMD1B	SPTB
LRRC7	SPTB
CDH1	SPTB
NRIP2	SPTB
MCOLN3	SPTB
CAMK2B	SPTB
PTPRU	SPTB
LIMCH1	SPTB
BCAS1	SPTB
FGR	CLTCL1
AASS	CLTCL1
FGR	FSTL3
ADIPOR2	FSTL3
AASS	FSTL3
CLTCL1	FSTL3
SLC7A2	WIPI1
ADIPOR2	WIPI1
BIRC3	WIPI1
PLPP1	WIPI1
FSTL3	WIPI1
SOX8	ST6GALNAC2
GAS7	ST6GALNAC2
SEMA3B	ST6GALNAC2
CNTN1	ST6GALNAC2
NRXN3	ST6GALNAC2
GPM6B	ST6GALNAC2
COL9A2	ST6GALNAC2
NAV3	ST6GALNAC2
PDZD4	ST6GALNAC2
SDK2	ST6GALNAC2
AGPAT4	TESK2
GATB	TESK2
PTPRU	TESK2
BTK	OSBPL3
SLC7A2	ARHGAP10
ADIPOR2	ARHGAP10
PIAS1	ARHGAP10
FAM214A	ARHGAP10
FGR	RPS6KA2
SLC7A2	RPS6KA2
ADIPOR2	RPS6KA2
AASS	RPS6KA2
CLTCL1	RPS6KA2
FSTL3	RPS6KA2
ARHGAP10	RPS6KA2
BIRC3	CDH19
PDE4A	ADGRL1
NEO1	RPS6KA6
ATP1A2	LIMS2
PLEKHB1	LIMS2
GRAMD1B	LIMS2
LRRC7	LIMS2
CAMK2B	LIMS2
PTPRU	LIMS2
TESK2	LIMS2
ADGRF5	LNX1
ATP1B3	TFRC
HDAC9	RHOBTB1
LIMA1	RHOBTB1
CDON	RHOBTB1
QPCTL	HSD17B10
ABCF2	HSD17B10
TMSB10	HSD17B10
NCDN	P4HA2
ANGEL1	CRMP1
STAG3	CRMP1
FUT8	EVC
PTPRU	EVC
IL20RA	TP63
BAIAP3	LLGL2
RPS6KA6	FRY
CDON	GLI2
MEOX1	NOTCH3
ARHGAP44	NOTCH3
NFIX	NOTCH3
TMEM159	NOTCH3
MYLK	NOTCH3
KIF26A	NOTCH3
NOTCH3	ATP2A3
FUT8	MGLL
NRIP2	MGLL
PTPRU	MGLL
TESK2	MGLL
ADGRA2	NTN4
CDON	NTN4
EML1	NTN4
NOTCH3	NTN4
ISOC1	HACD3
RRP12	ENO1
POLR1A	ENO1
HSD17B10	ENO1
ARHGAP33	ANO8
ANOS1	SEMA3C
NTN4	SEMA3C
PPP5C	TTC38
FAM13B	SLC25A40
MPP5	SLC25A40
SPAG4	FOSL2
PTPN21	FRYL
MPP5	FRYL
PLEKHB1	FSCN1
RTN4R	FSCN1
NRIP2	FSCN1
CAMK2B	FSCN1
PTPRU	FSCN1
LIMCH1	FSCN1
SPTB	FSCN1
TESK2	FSCN1
SLC11A1	MOCOS
MTHFD2	MOCOS
ETV1	ARHGAP15
CNTN1	ARHGAP15
CYFIP2	ARHGAP15
RASGRF1	ARHGAP15
ST6GALNAC2	ARHGAP15
BRCA1	FMO4
CPS1	FMO4
CC2D2A	FMO4
PLD1	FMO4
ARHGAP33	RGS11
TSPOAP1	RGS11
ROGDI	SLC46A1
FGR	PLXNA2
SLC7A2	PLXNA2
ADIPOR2	PLXNA2
AASS	PLXNA2
CLTCL1	PLXNA2
FSTL3	PLXNA2
RPS6KA2	PLXNA2
PLEKHB1	SPAG5
GRAMD1B	SPAG5
LRRC7	SPAG5
NRIP2	SPAG5
MCOLN3	SPAG5
CAMK2B	SPAG5
PTPRU	SPAG5
LIMCH1	SPAG5
SPTB	SPAG5
TESK2	SPAG5
LIMS2	SPAG5
FSCN1	SPAG5
CLTCL1	ACACB
ABCC8	RAP1GAP
CD22	RAP1GAP
COL9A2	RAP1GAP
SDK2	RAP1GAP
ST6GALNAC2	RAP1GAP
SLC4A7	DGKD
ADAM22	PPP1R12B
MRC2	PPP1R12B
