V1	V2
A2M	APOA1
A2M	BMP1
A2M	F8
A2M	FGA
A2M	FGB
A2M	FGG
A2M	KNG1
A2M	PLG
A2M	SERPING1
A2M	TIMP1
A2M	VWF
AAAS	EIF2AK2
AAAS	EIF4E
AAAS	ISG15
AAAS	KPNA1
AAAS	KPNA3
AAAS	KPNA4
AAAS	KPNA5
AAAS	KPNA7
AAAS	KPNB1
AAAS	NCBP1
AAAS	NCBP2
AAAS	NDC1
AAAS	NS
AAAS	NUP107
AAAS	NUP133
AAAS	NUP153
AAAS	NUP155
AAAS	NUP160
AAAS	NUP188
AAAS	NUP205
AAAS	NUP210
AAAS	NUP214
AAAS	NUP35
AAAS	NUP37
AAAS	NUP43
AAAS	NUP50
AAAS	NUP54
AAAS	NUP58
AAAS	NUP62
AAAS	NUP85
AAAS	NUP88
AAAS	NUP93
AAAS	NUP98
AAAS	NUPL2
AAAS	NXF1
AAAS	POLR2A
AAAS	POLR2B
AAAS	POLR2C
AAAS	POLR2D
AAAS	POLR2E
AAAS	POLR2F
AAAS	POLR2G
AAAS	POLR2H
AAAS	POLR2I
AAAS	POLR2J
AAAS	POLR2K
AAAS	POLR2L
AAAS	POM121
AAAS	POM121C
AAAS	RAE1
AAAS	RAN
AAAS	RANBP2
AAAS	RPS27A
AAAS	SEC13
AAAS	SEH1L
AAAS	TPR
AAAS	UBA52
AAAS	UBB
AAAS	XPO1
ABAT	ALDH5A1
ABCB11	BAAT
ABCC8	KCNJ11
ABCC9	KCNJ11
ABCD1	ACAA1
ABCD1	ACOT8
ABCD1	ACOX1
ABCD1	ACSL1
ABCD1	ELOVL1
ABCD1	ELOVL2
ABCD1	ELOVL3
ABCD1	ELOVL5
ABCD1	FADS1
ABCD1	FADS2
ABCD1	HSD17B4
ABCD1	SCP2
ABCG1	APOA1
ABHD12	ABHD6
ABHD12	DAGLA
ABHD12	DAGLB
ABHD12	MGLL
ABHD6	DAGLA
ABHD6	DAGLB
ABHD6	MGLL
ABI1	ABI2
ABI1	BAIAP2
ABI1	BRK1
ABI1	CDC42
ABI1	CYFIP1
ABI1	CYFIP2
ABI1	NCK1
ABI1	NCKAP1
ABI1	NCKAP1L
ABI1	PTK2
ABI1	RAC1
ABI1	WASF1
ABI1	WASF2
ABI1	WASF3
ABI2	BAIAP2
ABI2	BRK1
ABI2	CDC42
ABI2	CYFIP1
ABI2	CYFIP2
ABI2	NCK1
ABI2	NCKAP1
ABI2	NCKAP1L
ABI2	PTK2
ABI2	RAC1
ABI2	WASF1
ABI2	WASF2
ABI2	WASF3
ABL1	ATM
ABL1	BARD1
ABL1	BRCA1
ABL1	CDC42
ABL1	H2AFX
ABL1	H2BFS
ABL1	HIST1H2BA
ABL1	HIST1H2BB
ABL1	HIST1H2BC
ABL1	HIST1H2BD
ABL1	HIST1H2BH
ABL1	HIST1H2BJ
ABL1	HIST1H2BK
ABL1	HIST1H2BL
ABL1	HIST1H2BM
ABL1	HIST1H2BN
ABL1	HIST1H2BO
ABL1	HIST1H4A
ABL1	HIST2H2BE
ABL1	HIST3H2BB
ABL1	KAT5
ABL1	MAPK1
ABL1	MAPK3
ABL1	MRE11
ABL1	NBN
ABL1	RAD50
ABL1	RPS27A
ABL1	SRC
ABL1	UBA52
ABL1	UBB
ABL1	UBC
ABR	GNA13
ABR	KALRN
ABR	SOS2
ABR	TRIO
ACAA1	ACOT4
ACAA1	ACOT8
ACAA1	ACOX1
ACAA1	DECR2
ACAA1	ECI2
ACAA1	EHHADH
ACAA1	HSD17B4
ACAA1	MLYCD
ACAA1	PHYH
ACAA1	SCP2
ACACA	ACACB
ACACA	ACLY
ACACA	CUBN
ACACA	ELOVL6
ACACA	FASN
ACACA	MCCC1
ACACA	MCCC2
ACACA	MMAA
ACACA	MUT
ACACA	PC
ACACA	PCCA
ACACA	PCCB
ACACA	SCD
ACACB	FASN
ACADL	ACADM
ACADL	ECHS1
ACADL	HADH
ACADL	HADHA
ACADL	HADHB
ACADM	ECHS1
ACADM	HADH
ACADM	HADHA
ACADM	HADHB
ACADM	MECR
ACADS	ACSM3
ACADS	ACSM6
ACADS	ECHS1
ACADS	HADH
ACADS	HADHA
ACADS	HADHB
ACAN	AGRN
ACAN	BCAN
ACAN	BGN
ACAN	DCN
ACAN	FMOD
ACAN	HSPG2
ACAN	KERA
ACAN	LUM
ACAN	NCAN
ACAN	OGN
ACAN	OMD
ACAN	PRELP
ACAN	SDC1
ACAN	VCAN
ACD	H2AFB1
ACD	H2AFJ
ACD	H2AFV
ACD	H2AFX
ACD	H2AFZ
ACD	H2BFS
ACD	HIST1H2AB
ACD	HIST1H2AC
ACD	HIST1H2AD
ACD	HIST1H2AJ
ACD	HIST1H2BA
ACD	HIST1H2BB
ACD	HIST1H2BC
ACD	HIST1H2BD
ACD	HIST1H2BH
ACD	HIST1H2BJ
ACD	HIST1H2BK
ACD	HIST1H2BL
ACD	HIST1H2BM
ACD	HIST1H2BN
ACD	HIST1H2BO
ACD	HIST1H4A
ACD	HIST2H2AA3
ACD	HIST2H2AC
ACD	HIST2H2BE
ACD	HIST3H2BB
ACD	HIST3H3
ACD	POT1
ACD	TERF1
ACD	TERF2
ACD	TERF2IP
ACD	TINF2
ACHE	BCHE
ACLY	FASN
ACO2	CS
ACO2	IDH3G
ACOT4	ACOT8
ACOT4	ACOX1
ACOT4	DECR2
ACOT4	ECI2
ACOT4	EHHADH
ACOT4	HSD17B4
ACOT4	MLYCD
ACOT8	ACOX1
ACOT8	ACOX2
ACOT8	ACOX3
ACOT8	AKR1C3
ACOT8	AMACR
ACOT8	BAAT
ACOT8	CRAT
ACOT8	CROT
ACOT8	CYP8B1
ACOT8	DECR2
ACOT8	ECI2
ACOT8	EHHADH
ACOT8	HSD17B4
ACOT8	MLYCD
ACOT8	PTGIS
ACOT8	RXRA
ACOT8	SCP2
ACOT8	SLC27A2
ACOX1	DECR2
ACOX1	ECI2
ACOX1	EHHADH
ACOX1	FADS1
ACOX1	HSD17B4
ACOX1	MLYCD
ACOX1	PHYH
ACOX1	SCP2
ACOX2	ACOX3
ACOX2	AKR1C3
