166024,"Multiple epiphyseal dysplasia, Al-Gazali type"
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome
93,Aspartylglucosaminuria
585,Multiple sulfatase deficiency
118,Beta-mannosidosis
166068,Pontocerebellar hypoplasia type 5
166063,Pontocerebellar hypoplasia type 4
166078,Von Willebrand disease type 1
166073,Pontocerebellar hypoplasia type 6
333,Farber disease
166084,Von Willebrand disease type 2A
349,Fucosidosis
166090,Von Willebrand disease type 2M
366,Glycogen storage disease due to glycogen debranching enzyme deficiency
166087,Von Willebrand disease type 2B
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency
166093,Von Willebrand disease type 2N
166096,Von Willebrand disease type 3
371,Glycogen storage disease due to muscle phosphofructokinase deficiency
166100,Stickler syndrome type 3
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency
166105,FASTKD2-related infantile mitochondrial encephalomyopathy
447,Paroxysmal nocturnal hemoglobinuria
166108,"Intellectual disability, Birk-Barel type"
166119,Isolated osteopoikilosis
166260,Dentinogenesis imperfecta type 2
166265,Dentinogenesis imperfecta type 3
576,Mucolipidosis type II
812,Sialidosis type 1
166282,Familial sick sinus syndrome
578,Mucolipidosis type IV
166286,Porokeratotic eccrine ostial and dermal duct nevus
461,Recessive X-linked ichthyosis
584,Mucopolysaccharidosis type 7
166412,Hot water reflex epilepsy
95,Friedreich ataxia
586,Cystic fibrosis
550,MELAS
269,Facioscapulohumeral dystrophy
480,Kearns-Sayre syndrome
163908,Limbic encephalitis with LGI1 antibodies
551,MERRF
597,Central core disease
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease
684,Paramyotonia congenita of Von Eulenburg
163931,Acrodermatitis continua of Hallopeau
163927,Pustulosis palmaris et plantaris
273,Steinert myotonic dystrophy
163937,"X-linked intellectual disability, Najm type"
614,Thomsen and Becker disease
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type"
163956,"X-linked intellectual disability, Nascimento type"
324,Fabry disease
163985,Hyperekplexia-epilepsy syndrome
163988,"Developmental delay-deafness syndrome, Hildebrand type"
778,Rett syndrome
307,Juvenile myoclonic epilepsy
1941,Juvenile absence epilepsy
892,Von Hippel-Lindau disease
164736,Familial advanced sleep-phase syndrome
731,Autosomal recessive polycystic kidney disease
138,CHARGE syndrome
165805,Familial mesial temporal lobe epilepsy with febrile seizures
803,Amyotrophic lateral sclerosis
100,Ataxia-telangiectasia
399,Huntington disease
501,Lafora disease
166011,"Multiple epiphyseal dysplasia, Beighton type"
567,22q11.2 deletion syndrome
232,Sickle cell anemia
165994,Pituitary resistance to thyroid hormone
536,Systemic lupus erythematosus
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly
534,Oculocerebrorenal syndrome of Lowe
165991,Exercise-induced hyperinsulinism
652,Multiple endocrine neoplasia type 1
908,Fragile X syndrome
47,X-linked agammaglobulinemia
905,Wilson disease
792,X-linked retinoschisis
383,X-linked mixed deafness with perilymphatic gusher
827,Stargardt disease
906,Wiskott-Aldrich syndrome
904,Williams syndrome
280,Wolf-Hirschhorn syndrome
15,Achondroplasia
96,Ataxia with vitamin E deficiency
101,Dentatorubral pallidoluysian atrophy
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency
481,Kennedy disease
664,Ornithine transcarbamylase deficiency
394,Classic homocystinuria
508,Leprechaunism
163596,Hb Bart's hydrops fetalis
429,Hypochondroplasia
104,Leber hereditary optic neuropathy
163634,Maffucci syndrome
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius
163717,Benign familial mesial temporal lobe epilepsy
649,Norrie disease
163721,Rolandic epilepsy-speech dyspraxia syndrome
163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome
163681,Cortical dysplasia-focal epilepsy syndrome
379,Chronic granulomatous disease
16,Blue cone monochromatism
644,NARP syndrome
163699,Alveolar soft tissue sarcoma
637,Neurofibromatosis type 2
163696,Action myoclonus-renal failure syndrome
181,X-linked hypohidrotic ectodermal dysplasia
163693,2p21 microdeletion syndrome
163690,Hypotonia-cystinuria syndrome
337,Fibrodysplasia ossificans progressiva
377,Gorlin syndrome
648,Noonan syndrome
281,Monosomy 5p
752,"46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency"
510,Lesch-Nyhan syndrome
524,Li-Fraumeni syndrome
640,Hereditary neuropathy with liability to pressure palsies
60,Alpha-1-antitrypsin deficiency
895,Waardenburg syndrome type 2
896,Waardenburg syndrome type 3
857,Townes-Brocks syndrome
894,Waardenburg syndrome type 1
682,Hyperkalemic periodic paralysis
800,Schwartz-Jampel syndrome
628,Diastrophic dwarfism
681,Hypokalemic periodic paralysis
107,BOR syndrome
774,Hereditary hemorrhagic telangiectasia
794,Saethre-Chotzen syndrome
2869,Peutz-Jeghers syndrome
893,WAGR syndrome
